Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,41,1.362998832,0.1020546335,0.6135891117,0.728018376,0.0405,0.050960682,0.0243,0.3864108883,0.07200939652,0.1151422574
Aerospace/Defense,96,1.074487468,0.08563833693,0.8095437452,0.407457595,0.037,0.108554932,0.0222,0.1904562548,0.07355610886,0.1167512025
Air Transport,18,1.122088785,0.08834685187,0.5878326901,0.386115145,0.035,0.229868862,0.021,0.4121673099,0.0605886811,0.1032620235
Apparel,58,0.880540498,0.07460275434,0.7450801217,0.471469004,0.037,0.109533254,0.0222,0.2549198783,0.06124425058,0.1039439702
Auto & Truck,15,0.845010784,0.07258111361,0.3993274368,0.292145212,0.035,0.081379334,0.021,0.6006725632,0.04159775389,0.08350698638
Auto Parts,63,1.122629713,0.08837763067,0.7395327024,0.506406849,0.037,0.103995087,0.0222,0.2604672976,0.07114052205,0.1142384233
Bank (Money Center),10,0.860228972,0.07344702851,0.3471864996,0.258527317,0.035,0.2789912,0.021,0.6528135004,0.03920890024,0.08102201595
Banks (Regional),645,0.471938211,0.05135328421,0.6230092766,0.228435165,0.0305,0.254251232,0.0183,0.3769907234,0.03889250268,0.08069288797
Beverage (Alcoholic),25,0.792801661,0.06961041451,0.7750632894,0.441795359,0.037,0.108611294,0.0222,0.2249367106,0.05894607182,0.101553323
Beverage (Soft),36,0.911339119,0.07635519587,0.803128875,0.527987959,0.037,0.058678472,0.0222,0.196871125,0.06569360153,0.1085723431
Broadcasting,30,1.220010347,0.09391858874,0.5103996644,0.410107314,0.037,0.18542485,0.0222,0.4896003356,0.05880514362,0.1014067245
Brokerage & Investment Banking,45,1.076942368,0.08577802074,0.3010139145,0.449611259,0.037,0.135860097,0.0222,0.6989860855,0.0413378689,0.08323664478
Building Materials,41,1.006784289,0.08178602604,0.7875447471,0.337657801,0.035,0.233912351,0.021,0.2124552529,0.06887171551,0.1118783302
Business & Consumer Services,165,1.070528005,0.08541304348,0.7402042478,0.447149183,0.037,0.12605431,0.0222,0.2597957522,0.0689905633,0.1120019599
Cable TV,14,1.115739037,0.08798555121,0.6700802456,0.307837309,0.035,0.202843211,0.021,0.3299197544,0.06588569461,0.1087721651
Chemical (Basic),45,1.002633463,0.08154984404,0.6304547827,0.599130897,0.037,0.077064703,0.0222,0.3695452173,0.05961739303,0.1022516552
Chemical (Diversified),8,1.518895861,0.1109251745,0.7378755304,0.454849852,0.037,0.065923463,0.0222,0.2621244696,0.08766813519,0.1314310337
Chemical (Specialty),100,1.198054185,0.09266928313,0.7693610896,0.454402004,0.037,0.095849199,0.0222,0.2306389104,0.07641632445,0.1197265004
Coal & Related Energy,38,1.363240792,0.1020684011,0.4191909462,0.733131462,0.0405,0.00481985,0.0243,0.5808090538,0.05689980963,0.09942472837
Computer Services,117,0.985286934,0.08056282654,0.7792312781,0.455738414,0.037,0.111806872,0.0222,0.2207687219,0.06767813992,0.1106367304
Computers/Peripherals,55,1.055442804,0.08455469555,0.8361299569,0.602897337,0.037,0.056798409,0.0222,0.1638700431,0.0743366289,0.1175631272
Construction Supplies,51,1.314828594,0.099313747,0.7013925663,0.388696067,0.035,0.18444153,0.021,0.2986074337,0.07592867998,0.1192192353
Diversified,24,0.764571368,0.06800411084,0.735391141,0.232809456,0.0305,0.115501218,0.0183,0.264608859,0.05485196278,0.09729448533
Drugs (Biotechnology),426,1.402457498,0.1042998316,0.837205102,0.752300475,0.052,0.014428309,0.0312,0.162794898,0.092399552,0.1363528215
Drugs (Pharmaceutical),164,1.015395241,0.08227598921,0.8727542923,0.67611292,0.0405,0.025448829,0.0243,0.1272457077,0.07489879344,0.1181479107
Education,36,1.225147196,0.09421087545,0.7497287329,0.515052101,0.037,0.092901995,0.0222,0.2502712671,0.07618862241,0.1194896367
