ticker,industry
ACHN,Advertising
TTGT,Advertising
SMPP,Advertising
SWAG,Advertising
STGW,Advertising
SPTY,Advertising
SGRP,Advertising
IPG,Advertising
SNNC,Advertising
OMC,Advertising
NXTP,Advertising
NXMR,Advertising
NCMI,Advertising
MOBQ,Advertising
MMND,Advertising
PUBM,Advertising
MCHX,Advertising
TTD,Advertising
TGL,Advertising
DMSL,Advertising
EPGC,Advertising
XESP,Advertising
EVC,Advertising
LDWY,Advertising
LQR,Advertising
THRY,Advertising
SBIO,Advertising
TRKA.Q,Advertising
VEST,Advertising
XCYT,Advertising
CAUD,Advertising
UCPA,Advertising
TRKA,Advertising
TGNT,Advertising
MGNI,Advertising
ASST,Advertising
LYLT,Advertising
SCOR,Advertising
CMGO,Advertising
ADTM,Advertising
MRPT,Advertising
CMGR,Advertising
CCO,Advertising
CREX,Advertising
CDLX,Advertising
BOC,Advertising
BGTK,Advertising
ARMV,Advertising
AIAD,Advertising
ADV,Advertising
ADTH,Advertising
BMTM,Advertising
DEWM,Advertising
ADMG,Advertising
DMS,Advertising
IDIG,Advertising
INCC,Advertising
IAS,Advertising
ISIG,Advertising
CTV,Advertising
HAFG,Advertising
HHS,Advertising
FLNT,Advertising
DBMM,Advertising
GHST,Advertising
GMGZ,Advertising
LNTO,Advertising
VYBE.D,Advertising
DRCT,Advertising
EEX,Advertising
ENGA,Advertising
GE,Aerospace/Defense
ATRO,Aerospace/Defense
UATG,Aerospace/Defense
UMAV,Aerospace/Defense
TGI,Aerospace/Defense
TDG,Aerospace/Defense
BA,Aerospace/Defense
VVX,Aerospace/Defense
TXT,Aerospace/Defense
TIKK,Aerospace/Defense
SPR,Aerospace/Defense
SASI,Aerospace/Defense
SIF,Aerospace/Defense
SIDU,Aerospace/Defense
SATL,Aerospace/Defense
SAFS,Aerospace/Defense
RKLB,Aerospace/Defense
LLAP,Aerospace/Defense
SPCE,Aerospace/Defense
VTSI,Aerospace/Defense
RDW,Aerospace/Defense
AERG,Aerospace/Defense
ADFS,Aerospace/Defense
AIRI,Aerospace/Defense
ASLE,Aerospace/Defense
SKFG,Aerospace/Defense
SRBT,Aerospace/Defense
ASTR,Aerospace/Defense
VORB,Aerospace/Defense
LUNR,Aerospace/Defense
AJRD,Aerospace/Defense
AIR,Aerospace/Defense
RNWR,Aerospace/Defense
ACHR,Aerospace/Defense
XERI,Aerospace/Defense
XNNH.Q,Aerospace/Defense
WWD,Aerospace/Defense
AVAV,Aerospace/Defense
RTX,Aerospace/Defense
UITA,Aerospace/Defense
PSSR,Aerospace/Defense
GDSI,Aerospace/Defense
HXL,Aerospace/Defense
HEI,Aerospace/Defense
AXON,Aerospace/Defense
BANT,Aerospace/Defense
BUKS,Aerospace/Defense
BWXT,Aerospace/Defense
BYRN,Aerospace/Defense
CDRE,Aerospace/Defense
CVU,Aerospace/Defense
CW,Aerospace/Defense
DCO,Aerospace/Defense
PMBY,Aerospace/Defense
ETCC,Aerospace/Defense
EVEX,Aerospace/Defense
GD,Aerospace/Defense
GIGA,Aerospace/Defense
HII,Aerospace/Defense
ISSC,Aerospace/Defense
HWM,Aerospace/Defense
KGHI,Aerospace/Defense
PSN,Aerospace/Defense
PKE,Aerospace/Defense
OPXS,Aerospace/Defense
NOC,Aerospace/Defense
NGL,Aerospace/Defense
NPK,Aerospace/Defense
MNDP,Aerospace/Defense
MOG.A,Aerospace/Defense
MNTS,Aerospace/Defense
MRCY,Aerospace/Defense
MAXR,Aerospace/Defense
LMT,Aerospace/Defense
DRS,Aerospace/Defense
LHX,Aerospace/Defense
KTOS,Aerospace/Defense
KAMN,Aerospace/Defense
ASTC,Aerospace/Defense
IRBL,Aerospace/Defense
GSPT,Aerospace/Defense
FLYX,Air Transport
JTAI,Air Transport
SRFM,Air Transport
SOAR,Air Transport
SKYH,Air Transport
UAL,Air Transport
ALK,Air Transport
ALGT,Air Transport
AAL,Air Transport
UP,Air Transport
DAL,Air Transport
ULCC,Air Transport
JET,Air Transport
HRBR,Air Transport
HA,Air Transport
BLDE,Air Transport
JOBY,Air Transport
SNCY,Air Transport
JETR,Air Transport
JBLU,Air Transport
SAVE,Air Transport
SKYW,Air Transport
SKAS,Air Transport
MESA,Air Transport
LUV,Air Transport
LULU,Apparel
BRGO,Apparel
CRTL,Apparel
FIGS,Apparel
LSEB,Apparel
MGOL,Apparel
DKGR,Apparel
ZMRK,Apparel
VTMB,Apparel
VNCE,Apparel
VRA,Apparel
VFC,Apparel
UNIR,Apparel
FORD,Apparel
UAA,Apparel
PVH,Apparel
PLBY,Apparel
OXM,Apparel
NICH,Apparel
MOV,Apparel
LEVI,Apparel
LAKE,Apparel
KTB,Apparel
JLMC,Apparel
JRSH,Apparel
RL,Apparel
ILXP,Apparel
GIII,Apparel
FOSL,Apparel
DLA,Apparel
CULP,Apparel
CRWS,Apparel
COLM,Apparel
CGAC,Apparel
CTHR,Apparel
BANI,Apparel
AHRO,Apparel
HBI,Apparel
UFI,Apparel
CRI,Apparel
TBLT,Apparel
TPR,Apparel
TALN,Apparel
SGC,Apparel
SAML,Apparel
LCID,Auto & Truck
MTVX,Auto & Truck
FSR,Auto & Truck
FFIE,Auto & Truck
EVTV,Auto & Truck
ELIO,Auto & Truck
ELEK,Auto & Truck
ELMS.Q,Auto & Truck
CMOT,Auto & Truck
CNVT,Auto & Truck
GEGI,Auto & Truck
CENN,Auto & Truck
CSBI,Auto & Truck
GOEV,Auto & Truck
AYRO,Auto & Truck
FUV,Auto & Truck
ELCR,Auto & Truck
RIDE.Q,Auto & Truck
RECX,Auto & Truck
RONN,Auto & Truck
MULN,Auto & Truck
PEV,Auto & Truck
RIVN,Auto & Truck
RWGI,Auto & Truck
TSLA,Auto & Truck
THO,Auto & Truck
USLG,Auto & Truck
VLCN,Auto & Truck
WGO,Auto & Truck
LVWR,Auto & Truck
LFEV,Auto & Truck
HOG,Auto & Truck
GM,Auto & Truck
F,Auto & Truck
RIDE,Auto & Truck
WKHS,Auto & Truck
WKSP,Auto Parts
PHIN,Auto Parts
MGTC,Auto Parts
EVVL,Auto Parts
ECDA,Auto Parts
CNNN,Auto Parts
ATMU,Auto Parts
VC,Auto Parts
MPAA,Auto Parts
WARM,Auto Parts
MOD,Auto Parts
MWWC,Auto Parts
LAZR,Auto Parts
LEA,Auto Parts
LCII,Auto Parts
INNX,Auto Parts
HZN,Auto Parts
HLLY,Auto Parts
GCHK,Auto Parts
THRM,Auto Parts
GNTX,Auto Parts
FOXF,Auto Parts
EGOC,Auto Parts
DORM,Auto Parts
1316,Auto Parts
DAN,Auto Parts
OMTK,Auto Parts
QS,Auto Parts
AXL,Auto Parts
APTV,Auto Parts
BWA,Auto Parts
XPEL,Auto Parts
CDTI,Auto Parts
NCRE,Auto Parts
AFTC,Auto Parts
UFAB,Auto Parts
SYPR,Auto Parts
SUP,Auto Parts
STRT,Auto Parts
SRI,Auto Parts
SMP,Auto Parts
SPRU,Auto Parts
SLDP,Auto Parts
PATK,Auto Parts
CPS,Auto Parts
BAC,Bank (Money Center)
SIVB.Q,Bank (Money Center)
PNC,Bank (Money Center)
OAKC,Bank (Money Center)
KEY,Bank (Money Center)
FCNC.A,Bank (Money Center)
FITB,Bank (Money Center)
CMA,Bank (Money Center)
FNBT,Bank (Money Center)
WFC,Bank (Money Center)
USB,Bank (Money Center)
GBFH,Bank (Money Center)
JPM,Bank (Money Center)
CIBH,Bank (Money Center)
C,Bank (Money Center)
SRYB,Banks (Regional)
SFST,Banks (Regional)
SOMC,Banks (Regional)
SOUB,Banks (Regional)
SBSI,Banks (Regional)
SSBP,Banks (Regional)
STEL,Banks (Regional)
SYBT,Banks (Regional)
STBI,Banks (Regional)
SMAL,Banks (Regional)
SBKO,Banks (Regional)
SMMF,Banks (Regional)
SSBI,Banks (Regional)
SSB,Banks (Regional)
BCAL,Banks (Regional)
SABK,Banks (Regional)
SPFI,Banks (Regional)
SBCF,Banks (Regional)
SCYT,Banks (Regional)
SFDL,Banks (Regional)
SNLC,Banks (Regional)
SFBS,Banks (Regional)
SHBI,Banks (Regional)
BSRR,Banks (Regional)
SEBC,Banks (Regional)
SBNY,Banks (Regional)
SI,Banks (Regional)
SFNC,Banks (Regional)
SMBK,Banks (Regional)
SLRK,Banks (Regional)
SOBS,Banks (Regional)
SOHI,Banks (Regional)
SFBC,Banks (Regional)
SGBG,Banks (Regional)
SQCF,Banks (Regional)
TMAK,Banks (Regional)
SIVB,Banks (Regional)
TSBA,Banks (Regional)
TWCF,Banks (Regional)
TCNB,Banks (Regional)
TOWN,Banks (Regional)
TRBK,Banks (Regional)
TRCY,Banks (Regional)
TYFG,Banks (Regional)
SBFG,Banks (Regional)
TBBC,Banks (Regional)
TYBT,Banks (Regional)
TFIN,Banks (Regional)
TFC,Banks (Regional)
TRMK,Banks (Regional)
TRUX,Banks (Regional)
TRVR,Banks (Regional)
UNIF,Banks (Regional)
TCBK,Banks (Regional)
SVBT,Banks (Regional)
TMP,Banks (Regional)
TCBX,Banks (Regional)
SNV,Banks (Regional)
TVLF,Banks (Regional)
TCBI,Banks (Regional)
ADKT,Banks (Regional)
TBBK,Banks (Regional)
BPRN,Banks (Regional)
BAOB,Banks (Regional)
THVB,Banks (Regional)
TCFC,Banks (Regional)
FNLC,Banks (Regional)
FBMS,Banks (Regional)
FLIC,Banks (Regional)
PNC,Banks (Regional)
SRNN,Banks (Regional)
VTYB,Banks (Regional)
TDCB,Banks (Regional)
FBPA,Banks (Regional)
SVVB,Banks (Regional)
PBAM,Banks (Regional)
SASR,Banks (Regional)
PPBI,Banks (Regional)
PVBK,Banks (Regional)
