Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Heathcare Information and Technology,142,0.9416820923,0.05502732072,0.9113590967,0.4628432824,0.03578,0.03567639284,0.0261194,0.08864090334,0.05246489651,0.05246489651
Homebuilding,29,1.685212672,0.08655301731,0.81986714,0.3947491471,0.0316,0.1862771689,0.023068,0.18013286,0.07511727957,0.07511727957
Hospitals/Healthcare Facilities,31,1.413523423,0.07503339315,0.5848794482,0.5231349771,0.03578,0.08987027367,0.0261194,0.4151205518,0.05472818932,0.05472818932
Hotel/Gaming,66,1.794407068,0.09118285969,0.6848811553,0.43867344,0.03578,0.06019300123,0.0261194,0.3151188447,0.07068013745,0.07068013745
Household Products,118,0.979633749,0.05663647096,0.8882439512,0.5856766587,0.03578,0.05871169714,0.0261194,0.1117560488,0.05322600368,0.05322600368
Information Services,79,1.25050924,0.06812159178,0.9060434917,0.4644083896,0.03578,0.1121768527,0.0261194,0.09395650827,0.0641752125,0.0641752125
Insurance (General),23,0.9221635607,0.05419973498,0.7896308141,0.3715071202,0.0316,0.1143412696,0.023068,0.2103691859,0.04765057723,0.04765057723
Insurance (Life),24,1.22433281,0.06701171114,0.5192123713,0.318131837,0.0316,0.1428105272,0.023068,0.4807876287,0.04588411846,0.04588411846
Insurance (Prop/Cas.),52,0.8614182543,0.05162413398,0.8098712423,0.2924427141,0.0316,0.133749479,0.023068,0.1901287577,0.0461947917,0.0461947917
Investments & Asset Management,687,1.048331416,0.05954925202,0.7816629133,0.3196993525,0.0316,0.01418139142,0.023068,0.2183370867,0.05158404173,0.05158404173
Machinery,111,1.247125401,0.067978117,0.8763108695,0.3475338966,0.0316,0.1057873016,0.023068,0.1236891305,0.06242322367,0.06242322367
Metals & Mining,74,1.17292822,0.06483215653,0.846223772,0.680762937,0.046725,0.02071000594,0.03410925,0.153776228,0.06010770385,0.06010770385
Office Equipment & Services,18,1.383313331,0.07375248524,0.6745071071,0.3100568658,0.0316,0.08956271207,0.023068,0.3254928929,0.05725504552,0.05725504552
Oil/Gas (Integrated),4,1.465397474,0.0772328529,0.7890761539,0.2871316996,0.0316,0.1933726363,0.023068,0.2109238461,0.0658081938,0.0658081938
Oil/Gas (Production and Exploration),183,1.319726545,0.0710564055,0.762622567,0.5547561959,0.03578,0.02039797272,0.0261194,0.237377433,0.06038937448,0.06038937448
Oil/Gas Distribution,21,1.395624278,0.07427446939,0.5343132379,0.4498045398,0.03578,0.09759875945,0.0261194,0.4656867621,0.05184929104,0.05184929104
Oilfield Svcs/Equip.,100,1.495800529,0.07852194243,0.6488162879,0.4963464047,0.03578,0.03889089721,0.0261194,0.3511837121,0.06011902305,0.06011902305
Packaging & Container,26,1.009705231,0.05791150179,0.6680699767,0.2638417443,0.0316,0.1709483418,0.023068,0.3319300233,0.04634589743,0.04634589743
Paper/Forest Products,11,1.213515684,0.066553065,0.7075987932,0.3060750308,0.0316,0.1200959746,0.023068,0.2924012068,0.05383797952,0.05383797952
Power,50,0.8330725194,0.05042227482,0.5829682758,0.1949431144,0.025,0.1561268695,0.01825,0.4170317242,0.03700541558,0.03700541558
Precious Metals,76,0.9894521919,0.05705277294,0.8927957528,0.5628838017,0.03578,0.0310772072,0.0261194,0.1072042472,0.05373658398,0.05373658398
Publishing & Newspapers,21,1.693721168,0.08691377753,0.7309589235,0.3080024164,0.0316,0.1163780669,0.023068,0.2690410765,0.06973664081,0.06973664081
R.E.I.T.,238,1.348743178,0.07228671073,0.6501969408,0.3264730533,0.0316,0.01942373811,0.023068,0.3498030592,0.05506985515,0.05506985515
Real Estate (Development),19,1.062542775,0.06015181364,0.5557460854,0.5132233183,0.03578,0.02604623325,0.0261194,0.4442539146,0.04503278066,0.04503278066
Real Estate (General/Diversified),10,0.9064369372,0.05353292614,0.7910966959,0.3069870586,0.0316,0.09935535574,0.023068,0.2089033041,0.04716870241,0.04716870241
Real Estate (Operations & Services),51,1.145338688,0.06366236037,0.6395307565,0.4142863269,0.03578,0.06537791787,0.0261194,0.3604692435,0.05012927785,0.05012927785
Recreation,60,1.227590139,0.06714982188,0.7717315837,0.5035459097,0.03578,0.07752783736,0.0261194,0.2282684163,0.05778387246,0.05778387246
Reinsurance,2,1.37126688,0.07324171571,0.7202027611,0.2594550718,0.0316,0.229644848,0.023068,0.2797972389,0.05920324859,0.05920324859
Restaurant/Dining,70,1.557389073,0.08113329669,0.7852581213,0.4275765136,0.03578,0.07106343181,0.0261194,0.2147418787,0.06931950916,0.06931950916
Retail (Automotive),32,1.398032863,0.07437659338,0.7214885732,0.4449196349,0.03578,0.1420175833,0.0261194,0.2785114268,0.0609364136,0.0609364136
Retail (Building Supply),16,1.524631657,0.07974438227,0.8814934999,0.4473461855,0.03578,0.1550406906,0.0261194,0.1185065001,0.0733894733,0.0733894733
Retail (Distributors),68,1.281076589,0.06941764737,0.7553977943,0.4310135008,0.03578,0.1169779426,0.0261194,0.2446022057,0.05882680056,0.05882680056
Retail (General),16,1.115549284,0.06239928965,0.8617294115,0.338817077,0.0316,0.1844653583,0.023068,0.1382705885,0.05696092908,0.05696092908
Retail (Grocery and Food),15,0.2996756711,0.02780624846,0.5943747388,0.3426908627,0.0316,0.1330589938,0.023068,0.4056252612,0.02588429519,0.02588429519
Retail (Online),60,1.103808515,0.06190148102,0.9245657822,0.5881766479,0.03578,0.04759602612,0.0261194,0.07543421784,0.05920228773,0.05920228773
