Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital
Advertising,65,1.029101852,0.08185509259,0.6554568405,1.133597308,0.0704,0.06035177401,0.06615123511,0.3445431595,0.07644443592
Aerospace/Defense,95,1.007175175,0.08075875876,0.8404374675,0.8897262586,0.0554,0.1502919773,0.04707382446,0.1595625325,0.07538390533
Air Transport,25,0.9380152505,0.07730076253,0.4773643067,0.9287167448,0.0604,0.1379372128,0.05206859235,0.5226356933,0.06411352977
Apparel,70,1.145131137,0.08765655685,0.8242057913,0.9485619012,0.0604,0.1028611718,0.05418718522,0.1757942087,0.08177283515
Auto & Truck,26,1.276599327,0.09422996633,0.5061834375,1.03751574,0.0704,0.04711091092,0.06708339187,0.4938165625,0.08082453825
Auto Parts,75,1.461134582,0.1034567291,0.7575732043,1.026396134,0.0704,0.0942595486,0.06376412778,0.2424267957,0.09383417896
Bank (Money Center),7,0.7161166667,0.06620583333,0.5429295657,0.4139812546,0.0404,0.2216595241,0.03144495523,0.4570704343,0.05031766368
Banks (Regional),721,0.5831548416,0.05955774208,0.5814026413,0.7020228037,0.0504,0.1799844844,0.04132878199,0.4185973587,0.05192714753
Beverage (Soft),47,1.42363124,0.101581562,0.8185976686,1.098874012,0.0704,0.03948123989,0.06762052071,0.1814023314,0.09542094993
Beverage (Alcoholic),19,1.139020655,0.08735103276,0.7839600634,0.9707023694,0.0604,0.1072124666,0.05392436702,0.2160399366,0.08012953801
Biotechnology,349,1.115264063,0.08616320316,0.9161352661,1.336386007,0.0704,0.01128048736,0.06960585369,0.0838647339,0.08477462545
Broadcasting,30,1.531412257,0.1069706129,0.6734571767,1.108956529,0.0704,0.1321159254,0.06109903885,0.3265428233,0.09199157959
Brokerage & Investment Banking,49,1.107783565,0.08578917824,0.1997770084,0.8795010964,0.0554,0.1344397447,0.04795203814,0.8002229916,0.0555110288
Building Materials,37,1.271542465,0.09397712324,0.7689175132,0.8546773406,0.0554,0.1632643856,0.04635515304,0.2310824868,0.08297251994
Business & Consumer Services,179,0.8977425246,0.07528712623,0.7738124536,0.8990985504,0.0554,0.1341027974,0.04797070502,0.2261875464,0.06910849194
Cable TV,16,0.9748498677,0.07914249339,0.6701165877,0.8680978862,0.0554,0.149977133,0.04709126683,0.3298834123,0.0685693254
Chemical (Basic),47,1.012346022,0.0810173011,0.7711750519,1.081357165,0.0704,0.06269656035,0.06598616215,0.2288249481,0.07757780151
Chemical (Diversified),10,1.416775463,0.1012387731,0.7496848748,0.6496668972,0.0454,0.2503408433,0.03403452571,0.2503151252,0.08441653354
Chemical (Specialty),100,1.014038664,0.08110193318,0.8598652405,0.8517782798,0.0554,0.1274110394,0.04834142842,0.1401347595,0.07651104773
Coal & Related Energy,45,1.276309737,0.09421548686,0.5358272638,1.202011629,0.0704,0.02436867799,0.06868444507,0.4641727362,0.08236467333
