Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,47,1.43961175,0.094059811,0.5402953004,0.623767663,0.0367,0.041307973,0.027525,0.4597046996,0.06347344569,0.1106225147
Aerospace/Defense,77,1.231583809,0.08324235807,0.8046388207,0.387395563,0.0327,0.085443415,0.024525,0.1953611793,0.07177126575,0.1192882184
Air Transport,18,1.435347861,0.09383808877,0.4915747706,0.317396332,0.0327,0.184710643,0.024525,0.5084252294,0.05859756571,0.1055304627
Apparel,51,1.055096737,0.07406503032,0.7053766391,0.511019097,0.0367,0.111116476,0.027525,0.2946233609,0.06035325017,0.1073639854
Auto & Truck,13,1.095074098,0.0761438531,0.3774616009,0.350188777,0.0327,0.059326293,0.024525,0.6225383991,0.04400913493,0.09029525421
Auto Parts,46,1.210970022,0.08217044114,0.6628496011,0.50433022,0.0367,0.0724989,0.027525,0.3371503989,0.06374670886,0.110907893
Bank (Money Center),7,1.000862659,0.07124485827,0.3600384943,0.177446458,0.0272,0.193558691,0.0204,0.6399615057,0.03870610621,0.08475711585
Banks (Regional),611,0.566982758,0.04868310342,0.6137992313,0.182632184,0.0272,0.174628367,0.0204,0.3862007687,0.03776014713,0.0837692177
Beverage (Alcoholic),21,1.126335082,0.07776942426,0.7617333245,0.424625152,0.0367,0.06616451,0.027525,0.2382666755,0.06579785233,0.1130499739
Beverage (Soft),34,1.218896909,0.08258263927,0.8386564751,0.570769263,0.0367,0.04004792,0.027525,0.1613435249,0.07369944567,0.1213018842
Broadcasting,27,1.213678059,0.08231125907,0.5038998951,0.326515482,0.0327,0.133072081,0.024525,0.4961001049,0.05364348988,0.1003567481
Brokerage & Investment Banking,39,1.460916203,0.09516764256,0.2714532716,0.273615777,0.0327,0.128279248,0.024525,0.7285467284,0.04370117643,0.08997364238
Building Materials,42,1.231648593,0.08324572684,0.7571508472,0.307784494,0.0327,0.16263942,0.024525,0.2428491528,0.06898544807,0.1163788916
Business & Consumer Services,165,1.065922206,0.07462795471,0.7674282074,0.437972967,0.0367,0.083169501,0.027525,0.2325717926,0.0636731361,0.1108310584
Cable TV,14,1.114565004,0.07715738021,0.6243291693,0.250274606,0.0327,0.145488922,0.024525,0.3756708307,0.05738493021,0.1042640651
Chemical (Basic),43,1.366827709,0.09027504087,0.6207842295,0.519583729,0.0367,0.06664707,0.027525,0.3792157705,0.06647923577,0.1137615664
Chemical (Diversified),6,1.852864301,0.1155489437,0.5597216397,0.359186077,0.0327,0.118932611,0.024525,0.4402783603,0.07547307099,0.1231541431
Chemical (Specialty),94,1.135190386,0.07822990007,0.7780503378,0.483612329,0.0367,0.110084529,0.027525,0.2219496622,0.06697596463,0.1142803177
Coal & Related Energy,22,1.395904275,0.0917870223,0.556510512,0.54709193,0.0367,0.009678393,0.027525,0.443489488,0.06328749093,0.1104283157
Computer Services,106,1.203022395,0.08175716454,0.6913471067,0.455214363,0.0367,0.089215306,0.027525,0.3086528933,0.06501825004,0.1122358079
Computers/Peripherals,48,1.748007023,0.1100963652,0.8658693483,0.504058887,0.0367,0.062123292,0.027525,0.1341306517,0.09902101417,0.1477460838
Construction Supplies,44,1.363622994,0.09010839569,0.7135853516,0.299070743,0.0327,0.158173357,0.024525,0.2864146484,0.07132435047,0.1188214892
Diversified,23,1.401852102,0.0920963093,0.7624309265,0.381569554,0.0327,0.066835281,0.024525,0.2375690735,0.07604345596,0.1237498161
Drugs (Biotechnology),503,1.433451664,0.09373948653,0.8727346121,0.67447286,0.0442,0.00609657,0.03315,0.1272653879,0.08602854202,0.1341775907
Drugs (Pharmaceutical),267,1.361590902,0.0900027269,0.8700904396,0.771366513,0.0692,0.013589926,0.0519,0.1299095604,0.0850528184,0.1331586084
Education,35,1.605603462,0.10269138,0.748056148,0.376440693,0.0327,0.065591273,0.024525,0.251943852,0.08299784114,0.1310125238
Electrical Equipment,113,1.444743618,0.09432666814,0.8264740036,0.536716612,0.0367,0.039412747,0.027525,0.1735259964,0.08273484211,0.1307378647
Electronics (Consumer & Office),20,1.275416899,0.08552167875,0.8287221314,0.62170468,0.0367,0.054515738,0.027525,0.1712778686,0.07558813123,0.1232743045
Electronics (General),153,1.150958137,0.07904982312,0.845753783,0.427785929,0.0367,0.066475008,0.027525,0.154246217,0.07110231407,0.1185896088
Engineering/Construction,54,1.597299211,0.102259559,0.7180217384,0.331927324,0.0327,0.094414994,0.024525,0.2819782616,0.08034010317,0.128236955
Entertainment,107,1.333187022,0.08852572514,0.8328765622,0.555724404,0.0367,0.019337215,0.027525,0.1671234378,0.07833107425,0.1261388559
Environmental & Waste Services,82,1.268505796,0.08516230139,0.7593741985,0.443353143,0.0367,0.041371108,0.027525,0.2406258015,0.07129327955,0.1187890407
Farming/Agriculture,31,0.893625083,0.06566850432,0.6158038179,0.468760477,0.0367,0.059148997,0.027525,0.3841961821,0.05101391559,0.09761059165
Financial Svcs. (Non-bank & Insurance),232,0.732438335,0.05728679342,0.1018108441,0.257033041,0.0327,0.144174444,0.024525,0.8981891559,0.02786050584,0.07343067605
Food Processing,88,0.875321839,0.06471673563,0.7279221594,0.31529092,0.0327,0.06444292,0.024525,0.2720778406,0.05378145499,0.1005008298
Food Wholesalers,17,0.868022899,0.06433719075,0.6946677802,0.31580572,0.0327,0.077881901,0.024525,0.3053322198,0.05218124617,0.09882967581
Furn/Home Furnishings,35,1.076595269,0.07518295399,0.6740746943,0.433843108,0.0367,0.081494561,0.027525,0.3259253057,0.05965002077,0.1066295783
Green & Renewable Energy,22,1.072331851,0.07496125625,0.4702889589,0.53761195,0.0367,0.015200708,0.027525,0.5297110411,0.04983374757,0.09637810091
Healthcare Products,242,1.042968711,0.07343437297,0.8830296139,0.530856842,0.0367,0.035179034,0.027525,0.1169703861,0.06806433589,0.1154169419
Healthcare Support Services,128,1.170318746,0.08005657479,0.7147642257,0.499545328,0.0367,0.08263001,0.027525,0.2852357743,0.06507269038,0.1122926619
Heathcare Information and Technology,129,1.24491958,0.08393581816,0.8720919062,0.538640137,0.0367,0.038353671,0.027525,0.1279080938,0.07672041794,0.1244567911
Homebuilding,32,0.827682488,0.06223948938,0.6934676992,0.365506773,0.0327,0.170167344,0.024525,0.3065323008,0.05067878017,0.09726059801
Hospitals/Healthcare Facilities,36,1.221736566,0.08273030143,0.4344409297,0.426320967,0.0367,0.074975072,0.027525,0.5655590703,0.05150844248,0.09812704338
Hotel/Gaming,65,1.261610395,0.08480374054,0.6393450156,0.341033572,0.0327,0.125188797,0.024525,0.3606549844,0.06306391231,0.1101948247
Household Products,127,1.030008074,0.07276041985,0.8534411348,0.509069047,0.0367,0.059312673,0.027525,0.1465588652,0.06613076805,0.1133976494
Information Services,69,1.093128707,0.07604269276,0.893761879,0.377976491,0.0327,0.083368273,0.024525,0.106238121,0.07056954989,0.1180332245
Insurance (General),19,0.74262553,0.05781652756,0.7071440242,0.310019925,0.0327,0.160980889,0.024525,0.2928559758,0.04806690477,0.09453292518
Insurance (Life),24,1.076150112,0.07515980582,0.5063302343,0.251282053,0.0327,0.147770448,0.024525,0.4936697657,0.0501629331,0.09672188087
Insurance (Prop/Cas.),51,0.678285561,0.05447084917,0.7913950186,0.217098126,0.0272,0.140333211,0.0204,0.2086049814,0.04736350031,0.0937983353
Investments & Asset Management,192,1.027293808,0.07261927802,0.6476466147,0.278758959,0.0327,0.074740315,0.024525,0.3523533853,0.05567309634,0.1024763371
Machinery,120,1.247017093,0.08404488884,0.8073673886,0.353916965,0.0327,0.123234383,0.024525,0.1926326114,0.07257941722,0.1201321993
Metals & Mining,92,1.310283238,0.08733472838,0.7235384713,0.732549534,0.0442,0.019590181,0.03315,0.2764615287,0.07235473554,0.1198975563
Office Equipment & Services,22,1.645279013,0.1047545087,0.6456567373,0.312796215,0.0327,0.152902867,0.024525,0.3543432627,0.07632572281,0.1240445972
