Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,40,1.153556129,0.08270065135,0.5751385516,0.8095093223,0.0691,0.06376009504,0.052516,0.4248614484,0.06987635666,0.1129233936
Aerospace/Defense,87,1.082606,0.0790963848,0.8441640524,0.4906163503,0.0391,0.1159311575,0.029716,0.1558359476,0.07140114574,0.1145095334
Air Transport,17,1.0088835,0.0753512818,0.584798537,0.4020079333,0.0391,0.2457330411,0.029716,0.415201463,0.05640344603,0.09890839332
Apparel,51,1.016773689,0.0757521034,0.7452405435,0.5971082439,0.0391,0.1035305635,0.029716,0.2547594565,0.06402397071,0.1068355338
Auto & Truck,18,1.197417067,0.08492878699,0.403082536,0.385902835,0.0361,0.08145301205,0.027436,0.596917464,0.05061033838,0.09288219694
Auto Parts,62,1.037535439,0.07680680028,0.7794133972,0.5673690382,0.0391,0.07705735752,0.029716,0.2205866028,0.06641920063,0.1093271371
Bank (Money Center),11,0.6375454545,0.05648730909,0.3887160207,0.3337467046,0.0361,0.2731235477,0.027436,0.6112839793,0.03872870927,0.08052250424
Banks (Regional),612,0.5017112663,0.04958693233,0.6302174767,0.3207565684,0.0361,0.2556560727,0.027436,0.3697825233,0.04139590468,0.08329701566
Beverage (Alcoholic),28,1.326196174,0.09147076563,0.7927392725,0.5013699483,0.0391,0.1011766923,0.029716,0.2072607275,0.07867142799,0.1220723392
Beverage (Soft),35,0.7037961481,0.05985284433,0.8126047696,0.453341683,0.0391,0.0641071676,0.029716,0.1873952304,0.05420534344,0.09662184892
Broadcasting,27,1.11964448,0.08097793958,0.4713117147,0.5230083178,0.0391,0.1717569525,0.029716,0.5286882853,0.05387635264,0.096279621
Brokerage & Investment Banking,42,1.237953297,0.0869880275,0.3125745115,0.4248067051,0.0391,0.1456442991,0.029716,0.6874254885,0.04761777602,0.08976922726
Building Materials,39,1.108911529,0.08043270569,0.8233314436,0.4101473581,0.0391,0.2333901213,0.029716,0.1766685564,0.07147265851,0.1145839235
Business & Consumer Services,169,1.168721159,0.0834710349,0.7847028235,0.4944937495,0.0391,0.1109472027,0.029716,0.2152971765,0.07189772766,0.1150260955
Cable TV,14,0.9209032,0.07088188256,0.6533784556,0.3632575504,0.0361,0.2223007187,0.027436,0.3466215444,0.05582260365,0.09830418044
Chemical (Basic),38,1.197621053,0.08493914947,0.7078373013,0.5939018408,0.0391,0.0975609909,0.029716,0.2921626987,0.06880500509,0.1118089356
Chemical (Diversified),7,2.033952,0.1274247616,0.7862527938,0.6862283819,0.0466,0.1165501534,0.035416,0.2137472062,0.1077581459,0.1523293765
Chemical (Specialty),99,1.114586299,0.08072098398,0.7751700114,0.5968677315,0.0391,0.09644549707,0.029716,0.2248299886,0.06925353402,0.1122755113
Coal & Related Energy,30,1.248786,0.0875383288,0.6876880514,0.9061473538,0.0816,0.0494221428,0.062016,0.3123119486,0.07956740056,0.1230043617
Computer Services,111,1.101309247,0.08004650976,0.764347879,0.485305694,0.0391,0.09398987923,0.029716,0.235652121,0.06818601839,0.1111650437
Computers/Peripherals,58,1.009655077,0.07539047791,0.8462454864,0.6137848255,0.0391,0.05033836646,0.029716,0.1537545136,0.06836782077,0.111354161
Construction Supplies,49,1.120696571,0.08103138583,0.7549078452,0.4566798634,0.0391,0.1735751794,0.029716,0.2450921548,0.06845438734,0.1114442106
Diversified,24,1.194471059,0.08477912979,0.7547914417,0.2682304346,0.0361,0.120891776,0.027436,0.2452085583,0.0707181036,0.1137990087
Drugs (Biotechnology),459,1.439741723,0.09723887952,0.8633132253,0.9478062721,0.0816,0.01363184575,0.062016,0.1366867747,0.09242437773,0.1363786461
Drugs (Pharmaceutical),185,1.209335195,0.08553422789,0.872376848,0.8570412173,0.0691,0.02113218717,0.052516,0.127623152,0.08132033757,0.1248278291
Education,34,1.153287,0.0826869796,0.7203216854,0.5358944433,0.0391,0.08241286471,0.029716,0.2796783146,0.0678721453,0.1108385417
Electrical Equipment,118,1.084847923,0.07921027449,0.8631660456,0.6616525729,0.0466,0.05060490508,0.035416,0.1368339544,0.07321773074,0.1163992096
Electronics (Consumer & Office),24,1.092384762,0.0795931459,0.935094674,0.7022224434,0.0466,0.05980284746,0.035416,0.06490532604,0.07672581385,0.1200484423
Electronics (General),167,0.9379006234,0.07174535167,0.8697817843,0.60247419,0.0391,0.08337529412,0.029716,0.1302182157,0.06627236449,0.1091743929
Engineering/Construction,49,1.270316978,0.08863210247,0.7709168043,0.5301991346,0.0391,0.1337079606,0.029716,0.2290831957,0.07513541344,0.1183940513
Entertainment,90,1.151772414,0.08261003862,0.7477190506,0.5493693393,0.0391,0.05448488413,0.029716,0.2522809494,0.06926588034,0.1122883544
Environmental & Waste Services,87,0.8769972222,0.06865145889,0.7414615309,0.6573679264,0.0466,0.04450646712,0.035416,0.2585384691,0.06005881423,0.1027108372
Farming/Agriculture,34,0.7449101333,0.06194143477,0.6429399741,0.4256798988,0.0391,0.07690072641,0.029716,0.3570600259,0.0504350202,0.09269982474
Financial Svcs. (Non-bank & Insurance),264,0.6068717686,0.05492908584,0.08832458459,0.3663335193,0.0361,0.1988833009,0.027436,0.9116754154,0.02986431539,0.07130144682
Food Processing,87,0.6757656842,0.05842889676,0.7644255915,0.4118429296,0.0391,0.1512859525,0.029716,0.2355744085,0.05166487309,0.09397916141
