Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,61,1.076316775,0.06010215177,0.5633764877,0.5773635026,0.02998,0.03351408401,0.0218854,0.4366235123,0.04341581938,0.08967563403
Aerospace/Defense,72,1.06541168,0.0595874313,0.7516014668,0.3489293317,0.0258,0.0736711029,0.018834,0.2483985332,0.04946433874,0.09599231435
Air Transport,17,1.6081637,0.08520532666,0.3826151262,0.4615078958,0.02998,0.0600344073,0.0218854,0.6173848738,0.04611256173,0.09249193639
Apparel,51,1.098218613,0.06113591852,0.7174163604,0.4784359488,0.02998,0.04753481204,0.0218854,0.2825836396,0.05004436414,0.09659805516
Auto & Truck,19,1.282825528,0.06984936494,0.721159301,0.4523696419,0.02998,0.07859909598,0.0218854,0.278840699,0.05647505942,0.1033138552
Auto Parts,52,1.203497909,0.06610510129,0.8040454545,0.4316492713,0.02998,0.07353818211,0.0218854,0.1959545455,0.05744004982,0.1043216284
Bank (Money Center),7,0.8277079355,0.04836781455,0.3162631013,0.2158816448,0.0192,0.1615991139,0.014016,0.6837368987,0.02488021141,0.07031825034
Banks (Regional),598,0.644874696,0.03973808565,0.6201636245,0.194833371,0.0192,0.1641956584,0.014016,0.3798363755,0.02996790187,0.07563150343
Beverage (Alcoholic),23,0.7782638751,0.0460340549,0.810333373,0.3700799159,0.0258,0.05328919908,0.018834,0.189666627,0.04087511223,0.0870222847
Beverage (Soft),41,0.7912608446,0.04664751187,0.8223641148,0.4969504572,0.02998,0.03322139427,0.0218854,0.1776358852,0.0422488722,0.08845695028
Broadcasting,29,1.129039991,0.0625906876,0.4510224556,0.4555761666,0.02998,0.09257617365,0.0218854,0.5489775444,0.04024439877,0.08636360856
Brokerage & Investment Banking,39,1.131838174,0.06272276182,0.3136010264,0.359027932,0.0258,0.09751915849,0.018834,0.6863989736,0.03259756076,0.07837774818
Building Materials,42,1.088490073,0.06067673144,0.7918361812,0.339932071,0.0258,0.1515331557,0.018834,0.2081638188,0.05196658868,0.09860550147
Business & Consumer Services,169,0.9267932361,0.05304464075,0.8018114145,0.4564535314,0.02998,0.07433478958,0.0218854,0.1981885855,0.0468692349,0.09328215664
Cable TV,13,0.9429659094,0.05380799092,0.6580529569,0.3201588945,0.0258,0.1897462535,0.018834,0.3419470431,0.04184873814,0.08803907629
Chemical (Basic),48,0.9934776101,0.0561921432,0.6446724572,0.4805900856,0.02998,0.02978132783,0.0218854,0.3553275428,0.04400201243,0.09028781594
Chemical (Diversified),5,1.362722874,0.07362051964,0.6325115886,0.3616124741,0.0258,0.01245136187,0.018834,0.3674884114,0.05348710857,0.1001934336
Chemical (Specialty),97,0.9265920088,0.05303514282,0.7977483785,0.3854126878,0.0258,0.06434160355,0.018834,0.2022516215,0.04611790622,0.09249751783
Coal & Related Energy,29,0.8276705451,0.04836604973,0.5137967604,0.4227402784,0.02998,0,0.0218854,0.4862032396,0.03549107204,0.08139954322
Computer Services,116,1.117253306,0.06203435606,0.7155835019,0.4589086089,0.02998,0.05545575671,0.0218854,0.2844164981,0.05061533058,0.09719433538
Computers/Peripherals,52,1.184074433,0.06518831325,0.9144516565,0.4286644557,0.02998,0.03711945825,0.0218854,0.08554834353,0.06148382075,0.1085446798
Construction Supplies,46,1.021095437,0.05749570464,0.7419521109,0.3339082351,0.0258,0.1078655263,0.018834,0.2580478891,0.04751913337,0.09396086834
Diversified,29,1.024802287,0.05767066795,0.7707862125,0.2993738243,0.0258,0.06522154674,0.018834,0.2292137875,0.04876876819,0.0952659057
Drugs (Biotechnology),547,0.8862116697,0.05112919081,0.8658027463,0.5010200209,0.02998,0.005213750468,0.0218854,0.1341972537,0.0472047544,0.09363255139
Drugs (Pharmaceutical),287,0.9082184037,0.05216790865,0.8461615822,0.5545237556,0.02998,0.01877896151,0.0218854,0.1538384178,0.04750929544,0.09395059425
Education,38,1.14768098,0.06347054227,0.804295853,0.5572674496,0.02998,0.04016725064,0.0218854,0.195704147,0.05533215748,0.1021202827
Electrical Equipment,122,1.059036204,0.05928650881,0.8669257852,0.5511942446,0.02998,0.04442734709,0.0218854,0.1330742148,0.05430938562,0.1010521663
Electronics (Consumer & Office),22,0.9553526614,0.05439264562,0.9132165164,0.5490890757,0.02998,0.01047614397,0.0218854,0.08678348362,0.0515715536,0.09819295253
Electronics (General),157,0.8852671542,0.05108460968,0.8811868287,0.4386506758,0.02998,0.06114278938,0.0218854,0.1188131713,0.04761535898,0.09406136012
Engineering/Construction,61,1.056419982,0.05916302317,0.7798130884,0.4204261179,0.02998,0.09306904003,0.0218854,0.2201869116,0.05095497846,0.09754904154
Entertainment,118,0.8828171902,0.05096897138,0.8680875712,0.6806217937,0.040925,0.005289461475,0.02987525,0.1319124288,0.04818644736,0.09465776768
Environmental & Waste Services,86,0.954407655,0.05434804132,0.7987331467,0.5043075836,0.02998,0.02691451281,0.0218854,0.2012668533,0.04781438765,0.09426921272
Farming/Agriculture,32,0.8746992284,0.05058580358,0.6893989155,0.4529925581,0.02998,0.06452462396,0.0218854,0.3106010845,0.0416714271,0.08785390417
Financial Svcs. (Non-bank & Insurance),235,0.7971007196,0.04692315397,0.1004128903,0.2773863126,0.0258,0.1290545886,0.018834,0.8995871097,0.02165451314,0.06694954081
Food Processing,101,0.6363265082,0.03933461118,0.7518094622,0.3255716457,0.0258,0.08558909574,0.018834,0.2481905378,0.03424655347,0.08009984894
Food Wholesalers,18,1.034623862,0.05813424629,0.6409527544,0.5803291953,0.02998,0.005191972077,0.0218854,0.3590472456,0.04511919787,0.09145453177
Furn/Home Furnishings,40,0.8832454494,0.05098918521,0.7459418267,0.4052293489,0.02998,0.04788209932,0.0218854,0.2540581733,0.0435951307,0.08986289512
Green & Renewable Energy,25,0.9818502419,0.05564333142,0.6095266629,0.560416957,0.02998,0.01735294118,0.0218854,0.3904733371,0.04246175929,0.08867927571
Healthcare Products,265,0.8335840824,0.04864516869,0.9034428872,0.4618945989,0.02998,0.02567763391,0.0218854,0.0965571128,0.04606132269,0.09243842566
Healthcare Support Services,129,0.8507744933,0.04945655608,0.7592765477,0.4449160732,0.02998,0.05646619371,0.0218854,0.2407234523,0.04281953221,0.08905291048
Heathcare Information and Technology,139,0.7909028908,0.04663061645,0.8920622834,0.4244860262,0.02998,0.04160971221,0.0218854,0.1079377166,0.04395967429,0.09024360073
Homebuilding,30,1.458953837,0.07816262112,0.7534228617,0.3655725408,0.0258,0.1590608509,0.018834,0.2465771383,0.0635335395,0.1106852728
Hospitals/Healthcare Facilities,32,1.283102232,0.06986242536,0.5014979717,0.4921144871,0.02998,0.08159951026,0.0218854,0.4985020283,0.0459457809,0.09231776134
Hotel/Gaming,66,1.564683923,0.08315308116,0.6359872582,0.4369420526,0.02998,0.0201648651,0.0218854,0.3640127418,0.06085086456,0.1078836615
Household Products,140,0.7300042258,0.04375619946,0.8707149107,0.5465668265,0.02998,0.05056945001,0.0218854,0.1292850893,0.0409286312,0.08707817642
Information Services,77,1.009919626,0.05696820635,0.9143524693,0.4237334324,0.02998,0.09747294186,0.0218854,0.08564753072,0.05396345061,0.1006908942
Insurance (General),21,0.6823375794,0.04150633375,0.7101626335,0.3012204052,0.0258,0.1260669361,0.018834,0.2898373665,0.03493504424,0.08081886394
Insurance (Life),26,0.9764166325,0.05538686505,0.4546586435,0.3067647468,0.0258,0.1512138378,0.018834,0.5453413565,0.03545307604,0.08135986266
Insurance (Prop/Cas.),55,0.6432174198,0.03965986222,0.7996396999,0.2293408338,0.0192,0.108618388,0.014016,0.2003603001,0.03452185029,0.08038735104
