filing_date,annual,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,AccountsPayableOtherCurrent_USD,AccountsPayableTradeCurrent_USD,AccountsReceivableNetCurrent_USD,AccruedAdvertisingCurrent_USD,AccruedIncomeTaxesCurrent_USD,AccruedLiabilitiesCurrent_USD,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax_USD,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapitalCommonStock_USD,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation_USD,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_USD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation_USD,AdvertisingExpense_USD,AllocatedShareBasedCompensationExpense_USD,AllocatedShareBasedCompensationExpenseNetOfTax_USD,AllowanceForDoubtfulAccountsReceivable_USD,AllowanceForDoubtfulAccountsReceivableCurrent_USD,AllowanceForDoubtfulAccountsReceivableWriteOffs_USD,AmortizationOfFinancingCosts_USD,AmortizationOfFinancingCostsAndDiscounts_USD,AmortizationOfIntangibleAssets_USD,AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries_USD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_shares,AssetRetirementObligation_USD,Assets_USD,AssetsCurrent_USD,BuildingsAndImprovementsGross_USD,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued_shares,BusinessCombinationConsiderationTransferred1_USD,BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain_USD,CapitalExpendituresIncurredButNotYetPaid_USD,CapitalizedComputerSoftwareGross_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CommitmentsAndContingencies_USD,CommonStockDividendsPerShareCashPaid_USD/shares,CommonStockDividendsPerShareDeclared_USD/shares,CommonStockParOrStatedValuePerShare_USD/shares,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,CommonStockValueOutstanding_USD,ComprehensiveIncomeNetOfTax_USD,ConcentrationRiskPercentage1_pure,ConstructionInProgressGross_USD,ContractWithCustomerLiability_USD,ContractWithCustomerLiabilityCurrent_USD,ContractWithCustomerLiabilityRevenueRecognized_USD,CostOfGoodsAndServicesSold_USD,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption_USD,CurrentFederalTaxExpenseBenefit_USD,CurrentForeignTaxExpenseBenefit_USD,CurrentIncomeTaxExpenseBenefit_USD,CurrentStateAndLocalTaxExpenseBenefit_USD,DebtInstrumentCarryingAmount_USD,DebtInstrumentRepurchaseAmount_USD,DebtLongtermAndShorttermCombinedAmount_USD,DeferredCompensationArrangementWithIndividualCompensationExpense_USD,DeferredCompensationArrangementWithIndividualDistributionPaid_USD,DeferredCompensationArrangementWithIndividualDistributionsPaid_USD,DeferredCompensationArrangementWithIndividualRecordedLiability_USD,DeferredCompensationArrangementWithIndividualSharesAuthorizedForIssuance_shares,DeferredCompensationArrangementWithIndividualSharesIssued_shares,DeferredFederalStateAndLocalTaxExpenseBenefit_USD,DeferredFinanceCostsCurrentNet_USD,DeferredFinanceCostsGross_USD,DeferredFinanceCostsNet_USD,DeferredFinanceCostsNoncurrentNet_USD,DeferredForeignIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxLiabilities_USD,DeferredIncomeTaxLiabilitiesNet_USD,DeferredRevenueCurrent_USD,DeferredTaxAssetsCharitableContributionCarryforwards_USD,DeferredTaxAssetsDerivativeInstruments_USD,DeferredTaxAssetsGross_USD,DeferredTaxAssetsNetCurrent_USD,DeferredTaxAssetsOperatingLossCarryforwards_USD,DeferredTaxAssetsOther_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsPolicyholderLiabilities_USD,DeferredTaxAssetsValuationAllowance_USD,DeferredTaxLiabilities_USD,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets_USD,DeferredTaxLiabilitiesNoncurrent_USD,DeferredTaxLiabilitiesOther_USD,DeferredTaxLiabilitiesPropertyPlantAndEquipment_USD,DeferredTaxLiabilitiesTaxDeferredIncome_USD,DefinedContributionPlanCostRecognized_USD,Depreciation_USD,DepreciationAmortizationAndAccretionNet_USD,DepreciationDepletionAndAmortization_USD,DerivativeAssets_USD,DerivativeAssetsNoncurrent_USD,DerivativeCapInterestRate_pure,DerivativeGainLossOnDerivativeNet_USD,DerivativeLiabilitiesCurrent_USD,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal_USD,DividendsCommonStock_USD,DividendsCommonStockCash_USD,DividendsStock_USD,EarningsPerShareBasic_USD/shares,EarningsPerShareDiluted_USD/shares,EffectiveIncomeTaxRateContinuingOperations_pure,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance_pure,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate_pure,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential_pure,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost_pure,EffectiveIncomeTaxRateReconciliationOtherAdjustments_pure,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount_USD,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent_pure,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes_pure,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount_USD,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Percent_pure,EffectOfExchangeRateOnCashAndCashEquivalents_USD,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,EmployeeRelatedLiabilitiesCurrent_USD,EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount_USD,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_USD,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions_USD,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense_USD,EntityWideRevenueMajorCustomerAmount_USD,EntityWideRevenueMajorCustomerPercentage_pure,EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity_USD,EquityMethodInvestmentOwnershipPercentage_pure,EquityMethodInvestments_USD,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities_USD,FiniteLivedIntangibleAssetsAccumulatedAmortization_USD,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive_USD,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo_USD,FiniteLivedIntangibleAssetsGross_USD,FiniteLivedIntangibleAssetsNet_USD,FurnitureAndFixturesGross_USD,GainLossOnDerivativeInstrumentsNetPretax_USD,GainLossOnDispositionOfAssets_USD,GainLossOnDispositionOfProperty_USD,GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments_USD,GainLossOnSaleOfPropertyPlantEquipment_USD,GainsLossesOnExtinguishmentOfDebt_USD,Goodwill_USD,GoodwillAcquiredDuringPeriod_USD,GoodwillForeignCurrencyTranslationGainLoss_USD,GoodwillGross_USD,GoodwillImpairedAccumulatedImpairmentLoss_USD,GoodwillImpairmentLoss_USD,GoodwillPeriodIncreaseDecrease_USD,GoodwillTransfers_USD,GoodwillTranslationAdjustments_USD,GrossProfit_USD,ImpairmentOfIntangibleAssetsExcludingGoodwill_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign_USD,IncomeLossFromEquityMethodInvestments_USD,IncomeTaxExpenseBenefit_USD,IncomeTaxesPaidNet_USD,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance_USD,IncomeTaxReconciliationChangeInEnactedTaxRate_USD,IncomeTaxReconciliationForeignIncomeTaxRateDifferential_USD,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_USD,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost_USD,IncomeTaxReconciliationOtherAdjustments_USD,IncomeTaxReconciliationStateAndLocalIncomeTaxes_USD,IncreaseDecreaseInAccountsPayable_USD,IncreaseDecreaseInAccountsPayableTrade_USD,IncreaseDecreaseInAccountsReceivable_USD,IncreaseDecreaseInDeferredIncomeTaxes_USD,IncreaseDecreaseInInventories_USD,IncreaseDecreaseInOtherAccountsPayable_USD,IncreaseDecreaseInOtherCurrentLiabilities_USD,IncreaseDecreaseInOtherNoncurrentLiabilities_USD,IncreaseDecreaseInOtherOperatingAssets_USD,IncreaseDecreaseInOtherOperatingLiabilities_USD,IntangibleAssetsNetExcludingGoodwill_USD,InterestExpense_USD,InterestIncomeExpenseNet_USD,InterestPaidNet_USD,InterestPayableCurrent_USD,InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet_USD,InventoryNet_USD,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures_USD,Land_USD,LeaseAndRentalExpense_USD,LeaseCost_USD,LeaseIncentivePayableCurrentAndNoncurrent_USD,LesseeOperatingLeaseLiabilityPaymentsDue_USD,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFour_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearThree_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo_USD,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_USD,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount_USD,Liabilities_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,LiabilitiesNoncurrent_USD,LongTermDebtAndCapitalLeaseObligations_USD,LongTermDebtAndCapitalLeaseObligationsCurrent_USD,LongTermDebtCurrent_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo_USD,LongTermDebtNoncurrent_USD,MachineryAndEquipmentGross_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1_USD,NontradeReceivablesCurrent_USD,NumberOfReportableSegments_pure,NumberOfReportableSegments_segment,OperatingIncomeLoss_USD,OperatingLeaseExpense_USD,OperatingLeaseLiability_USD,OperatingLeaseLiabilityCurrent_USD,OperatingLeaseLiabilityNoncurrent_USD,OperatingLeasePayments_USD,OperatingLeaseRightOfUseAsset_USD,OperatingLeasesFutureMinimumPaymentsDue_USD,OperatingLeasesFutureMinimumPaymentsDueCurrent_USD,OperatingLeasesFutureMinimumPaymentsDueInFiveYears_USD,OperatingLeasesFutureMinimumPaymentsDueInFourYears_USD,OperatingLeasesFutureMinimumPaymentsDueInThreeYears_USD,OperatingLeasesFutureMinimumPaymentsDueInTwoYears_USD,OperatingLeasesFutureMinimumPaymentsDueThereafter_USD,OperatingLeasesRentExpenseNet_USD,OperatingLeaseWeightedAverageDiscountRatePercent_pure,OtherAccruedLiabilitiesCurrent_USD,OtherAssetsNoncurrent_USD,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent_USD,OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax_USD,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax_USD,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax_USD,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax_USD,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent_USD,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax_USD,OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax_USD,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax_USD,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax_USD,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax_USD,OtherLiabilitiesCurrent_USD,OtherLiabilitiesNoncurrent_USD,OtherNoncashIncomeExpense_USD,OtherNonoperatingIncomeExpense_USD,OtherOperatingActivitiesCashFlowStatement_USD,OtherReceivablesNetCurrent_USD,PartnersCapitalAccountTreasuryUnitsPurchases_USD,PaymentsForDerivativeInstrumentFinancingActivities_USD,PaymentsForDerivativeInstrumentInvestingActivities_USD,PaymentsForHedgeFinancingActivities_USD,PaymentsForHedgeInvestingActivities_USD,PaymentsForRepurchaseOfCommonStock_USD,PaymentsOfDebtExtinguishmentCosts_USD,PaymentsOfDividendsCommonStock_USD,PaymentsOfFinancingCosts_USD,PaymentsRelatedToTaxWithholdingForShareBasedCompensation_USD,PaymentsToAcquireBusinessesNetOfCashAcquired_USD,PaymentsToAcquireEquityMethodInvestments_USD,PaymentsToAcquireMarketableSecurities_USD,PaymentsToAcquireProductiveAssets_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockParOrStatedValuePerShare_USD/shares,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,PreferredStockValue_USD,PrepaidExpenseAndOtherAssetsCurrent_USD,ProceedsFromContributionsFromParent_USD,ProceedsFromHedgeFinancingActivities_USD,ProceedsFromIssuanceInitialPublicOffering_USD,ProceedsFromIssuanceOfCommonStock_USD,ProceedsFromIssuanceOfLongTermDebt_USD,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans_USD,ProceedsFromLegalSettlements_USD,ProceedsFromLinesOfCredit_USD,ProceedsFromPaymentsForOtherFinancingActivities_USD,ProceedsFromRepaymentsOfOtherLongTermDebt_USD,ProceedsFromSaleAndMaturityOfMarketableSecurities_USD,ProceedsFromSaleOfEquityMethodInvestments_USD,ProceedsFromSaleOfOtherAssets_USD,ProceedsFromStockOptionsExercised_USD,PropertyPlantAndEquipmentDisposals_USD,PropertyPlantAndEquipmentGross_USD,PropertyPlantAndEquipmentNet_USD,PropertyPlantAndEquipmentOther_USD,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation_USD,ProvisionForDoubtfulAccounts_USD,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty_USD,RepaymentsOfDebtAndCapitalLeaseObligations_USD,RepaymentsOfLinesOfCredit_USD,RepaymentsOfLongTermCapitalLeaseObligations_USD,RepaymentsOfLongTermDebt_USD,RepaymentsOfSecuredDebt_USD,RestrictedCash_USD,RetainedEarningsAccumulatedDeficit_USD,RevenueFromContractWithCustomerExcludingAssessedTax_USD,RevenueFromRelatedParties_USD,RevenueRemainingPerformanceObligation_USD,Revenues_USD,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability_USD,SalesAndExciseTaxPayableCurrent_USD,SalesRevenueNet_USD,SellingGeneralAndAdministrativeExpense_USD,ShareBasedCompensation_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardPlanModificationIncrementalCompensationCost_USD,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice_USD/shares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1_USD,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares_shares,SharePrice_USD/shares,SharesOutstanding_shares,StockholdersEquity_USD,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1_USD,StockholdersEquityNoteStockSplitConversionRatio_shares,StockholdersEquityNoteStockSplitConversionRatio1_pure,StockIssuedDuringPeriodSharesShareBasedCompensationGross_shares,StockIssuedDuringPeriodSharesStockOptionsExercised_shares,StockIssuedDuringPeriodValueAcquisitions_USD,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockIssuedDuringPeriodValueShareBasedCompensationGross_USD,StockIssuedDuringPeriodValueStockOptionsExercised_USD,StockRepurchasedAndRetiredDuringPeriodShares_shares,StockRepurchasedAndRetiredDuringPeriodValue_USD,StockRepurchasedDuringPeriodShares_shares,StockRepurchasedDuringPeriodValue_USD,StockRepurchaseProgramAuthorizedAmount1_USD,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1_USD,TreasuryStockAcquiredAverageCostPerShare_USD/shares,TreasuryStockCommonShares_shares,TreasuryStockCommonValue_USD,TreasuryStockSharesAcquired_shares,TreasuryStockSharesRetired_shares,TreasuryStockValueAcquiredCostMethod_USD,UndistributedEarningsOfForeignSubsidiaries_USD,UnrealizedGainLossOnCashFlowHedgingInstruments_USD,UnrealizedGainLossOnDerivativesAndCommodityContracts_USD,UnrecognizedTaxBenefits_USD,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense_USD,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_USD,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate_USD,WeightedAverageNumberDilutedSharesOutstandingAdjustment_shares,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares,WriteOffOfDeferredDebtIssuanceCost_USD,AccountsReceivableNet_USD,AccountsReceivableNetNoncurrent_USD,AccountsReceivableSale_USD,ContractWithCustomerAssetAccumulatedAllowanceForCreditLoss_USD,IncreaseDecreaseInContractWithCustomerAsset_USD,IncreaseDecreaseInContractWithCustomerLiability_USD,ContractWithCustomerAssetNet_USD,PaymentsForProceedsFromOtherInvestingActivities_USD,AssetImpairmentCharges_USD,EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings_pure,GoodwillPurchaseAccountingAdjustments_USD,IncomeTaxReconciliationRepatriationOfForeignEarnings_USD
2011-09-14,False,,,12300000.0,760400000,1178300000,31400000,5400000.0,,,,2700000,2175200000,,,8100000.0,,,29200000.0,,,,5900000,,7700000.0,,,,,,6021900000,1866800000,,,,,,,44600000,8000000.0,,,,,,,,,,,,,,,,,,,2010300000,,,,,,,,,,,,,,,,,,,76500000.0,,-17500000.0,,,49000000.0,,,,50600000.0,,,,,,,,,,,711200000.0,,,,,,102400000,,,2400000.0,,,2800000.0,,,,200000.0,,,,,,,,,,,,,,,400000.0,,77800000,,,,,,,,,,,,,,,,,,,,,-2800000.0,,,-2000000.0,,-115700000.0,2210300000,,,,,,,,,401800000,,,-53200000,,,-18400000,-35000000,,,,,,,,194600000.0,,86100000,,56000000,12300000.0,-4300000.0,-10900000.0,15600000,,1712900000,65700000.0,,178200000,51800000.0,,348900000,,,,,,,,,,,,,,,,6021900000,1091100000,5000100000,4226000000.0,132600000.0,,,,,,,,,,-173300000,-26500000,207400000,-34800000,,,,,128200000,,,,,,,,,,,,,,,,83400000.0,2200000,3000000.0,,,,,,,,,,,-1900000.0,,,,48400000,600000.0,500000,,187700000,,,3200000.0,,6600000.0,200000.0,,,26300000.0,,,,,16700000.0,,,,,,,56700000,1000000.0,,,,1175000000.0,,,755000000.0,,,,,,,,,150800000,,,900000.0,,,783100000.0,300000.0,,132000000.0,,-2247200000,,,,,,19600000.0,2412100000.0,244400000,8100000.0,,,,,,,,,,,,,,,,,,,,,,,,-69300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-14,False,,,,563100000,1257000000,33000000,6700000.0,,,,-4400000,2179000000,,,12300000.0,,,28300000.0,,,,5900000,,12500000.0,,,,,,5965000000,1862100000,,,,,,,25900000,-10700000.0,,,,,,,,,,,,,,,,,,,2160600000,,,,,,,,,,,,,,,,,,,71600000.0,,-8600000.0,,,39000000.0,,,,29300000.0,,,,,,,,,,,698300000.0,,,,,,153600000,,,900000.0,,,2800000.0,,,,200000.0,,,,,,,,,,,,,,,-1100000.0,,87800000,,,,,,,,,,,,,,,,,,,,,-2800000.0,,,-4000000.0,,-118900000.0,2207500000,,,,,,,,,420800000,,,54700000,,,17600000,-41800000,,,,,,,,27100000.0,,168600000,,22500000,,63700000.0,-15800000.0,6300000,,1672800000,85500000.0,,196600000,112700000.0,,315100000,,,,,,,,,,,,,,,,5965000000,1172800000,4827700000,4071000000.0,132600000.0,,,,,,,,,,-144900000,-36200000,171500000,37100000,,,,,139700000,,,,,,,,,,,,,,,,87400000.0,2200000,-4100000.0,,,,,,,,,,,-1900000.0,,,,44700000,600000.0,500000,,186100000,,,3700000.0,,6600000.0,200000.0,,,26300000.0,,,,,25900000.0,,,,,,,48700000,1000000.0,,,,1175000000.0,,,990000000.0,,,,,,,,,147900000,,,900000.0,,,1173100000.0,400000.0,132000000.0,,,-2210100000,,,,,,19300000.0,2581400000.0,252800000,12300000.0,,,,,,,,,,,,,,,,,,,,,,,,-35500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-09,True,,,,517800000,1254900000,38800000,0.0,,,,-2100000,2186100000,,,19500000.0,,,122700000.0,,,,5400000,,15700000.0,,,,,,5949600000,1879400000,,,,,1100000.0,,99900000,63300000.0,,,,0.0,,,,,,,,,,,,,,,8015000000,,,,,,,,,,,,,,,,,,,68500000.0,,-10200000.0,,,27800000.0,,,,24600000.0,,,,,,,,,,,692000000.0,,,,,,204900000,,,700000.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,106600000,,,,,,,,,,,,,,,,,,,,,-2800000.0,-300000.0,,-4200000.0,,-118900000.0,2208400000,,,,,0.0,,,,1587400000,,,28300000,,,11200000,-20900000,,,,,,,,-19800000.0,,165300000,,29000000,,21500000.0,-16000000.0,-50300000,,1636000000,324200000.0,,332900000,54900000.0,,321700000,,,,,,,,,,,,,,,,5949600000,1341300000,4615600000,3865000000.0,201000000.0,,,,,,,,,,-95400000,-56000000,214700000,17100000,0.0,,,,470700000,,,,,,,,,,,,,,,,92600000.0,2300000,-1800000.0,,,,,,,,,,,-1900000.0,,-32100000.0,,45600000,600000.0,700000,,143600000,400000.0,,3700000.0,,6600000.0,400000.0,,,26300000.0,,,,0.0,45700000.0,,,,,,,34700000,1000000.0,,,,1175000000.0,,,1295000000.0,,,0.0,,0.0,,,,154300000,,,400000.0,,,1483200000.0,0.0,132000000.0,,,-2191300000,,,,,,23100000.0,9602400000.0,994000000,19500000.0,,,,,,,,,,,,,,,,,,,,,,,,-7300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
