filing_date,annual,EntityPublicFloat_USD,AccountsPayableCurrent_USD,AccountsReceivableNetCurrent_USD,AccruedBonusesCurrent_USD,AccruedIncomeTaxesCurrent_USD,AccruedLiabilitiesAndOtherLiabilities_USD,AccruedLiabilitiesCurrent_USD,AccruedPayrollTaxesCurrent_USD,AccruedSalesCommissionCurrent_USD,AccruedVacationCurrent_USD,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_USD,AdditionalPaidInCapitalCommonStock_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_USD,AdvertisingExpense_USD,AllocatedShareBasedCompensationExpense_USD,AllowanceForDoubtfulAccountsReceivableCurrent_USD,AllowanceForDoubtfulAccountsReceivableWriteOffs_USD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_shares,Assets_USD,AssetsCurrent_USD,CapitalExpendituresIncurredButNotYetPaid_USD,CapitalizedComputerSoftwareAmortization1_USD,CapitalizedComputerSoftwareNet_USD,CapitalizedContractCostAmortization_USD,CapitalizedContractCostGross_USD,CapitalizedContractCostImpairmentLoss_USD,CapitalizedContractCostNet_USD,CapitalizedContractCostNetCurrent_USD,CapitalizedContractCostNetNoncurrent_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CommonStockCapitalSharesReservedForFutureIssuance_shares,ContractWithCustomerAssetNet_USD,ContractWithCustomerAssetReclassifiedToReceivable_USD,ContractWithCustomerLiabilityRevenueRecognized_USD,ConversionOfStockAmountConverted1_USD,CostOfGoodsAndServicesSold_USD,CurrentForeignTaxExpenseBenefit_USD,CurrentIncomeTaxExpenseBenefit_USD,CurrentStateAndLocalTaxExpenseBenefit_USD,CustomerRefundLiabilityCurrent_USD,DeferredCosts_USD,DeferredCostsCurrent_USD,DeferredForeignIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxLiabilities_USD,DeferredOfferingCosts_USD,DeferredRevenueCurrent_USD,DeferredRevenueNoncurrent_USD,DeferredTaxAssetsDeferredIncome_USD,DeferredTaxAssetsGross_USD,DeferredTaxAssetsLiabilitiesNet_USD,DeferredTaxAssetsOperatingLossCarryforwards_USD,DeferredTaxAssetsTaxCreditCarryforwards_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther_USD,DeferredTaxAssetsValuationAllowance_USD,DeferredTaxLiabilitiesPropertyPlantAndEquipment_USD,DefinedBenefitPlanContributionsByEmployer_USD,DepreciationAndAmortization_USD,EarningsPerShareBasicAndDiluted_USD/shares,EffectiveIncomeTaxRateContinuingOperations_pure,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance_pure,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential_pure,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent_pure,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent_pure,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes_pure,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch_pure,EmployeeRelatedLiabilitiesCurrent_USD,EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount_USD,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_USD,FairValueAssetsLevel1ToLevel2TransfersAmount_USD,FairValueAssetsLevel2ToLevel1TransfersAmount_USD,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet_USD,GeneralAndAdministrativeExpense_USD,GrossProfit_USD,ImpairmentOfLongLivedAssetsToBeDisposedOf_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign_USD,IncomeTaxExpenseBenefit_USD,IncomeTaxesPaidNet_USD,IncreaseDecreaseInAccountsPayable_USD,IncreaseDecreaseInAccountsReceivable_USD,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities_USD,IncreaseDecreaseInContractWithCustomerAsset_USD,IncreaseDecreaseInDeferredRevenue_USD,IncreaseDecreaseInOperatingLeaseLiability_USD,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets_USD,IncreaseDecreaseInWorkersCompensationLiabilities_USD,LeaseCost_USD,LesseeOperatingLeaseLiabilityPaymentsDue_USD,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFour_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearThree_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo_USD,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount_USD,LettersOfCreditOutstandingAmount_USD,Liabilities_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,NumberOfOperatingSegments_Segment,NumberOfReportableSegments_Segment,OperatingExpenses_USD,OperatingIncomeLoss_USD,OperatingLeaseCost_USD,OperatingLeaseLiability_USD,OperatingLeaseLiabilityCurrent_USD,OperatingLeaseLiabilityNoncurrent_USD,OperatingLeasePayments_USD,OperatingLeaseRightOfUseAsset_USD,OperatingLeaseWeightedAverageDiscountRatePercent_pure,OperatingLossCarryforwardsValuationAllowance_USD,OtherAssetsNoncurrent_USD,OtherCommitment_USD,OtherCommitmentDueInNextTwelveMonths_USD,OtherCommitmentDueInSecondYear_USD,OtherCommitmentDueInThirdYear_USD,OtherEmployeeRelatedLiabilitiesCurrent_USD,OtherLiabilitiesNoncurrent_USD,OtherNoncashIncomeExpense_USD,OtherNonoperatingIncomeExpense_USD,PaymentsOfDebtIssuanceCosts_USD,PaymentsOfStockIssuanceCosts_USD,PaymentsRelatedToTaxWithholdingForShareBasedCompensation_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PaymentsToAcquireShortTermInvestments_USD,PaymentsToDevelopSoftware_USD,PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesCurrent_USD,PreferredStockDividendsPerShareDeclared_USD/shares,PreferredStockParOrStatedValuePerShare_USD/shares,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,PrepaidExpenseAndOtherAssetsCurrent_USD,ProceedsFromIssuanceInitialPublicOffering_USD,ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock_USD,ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments_USD,ProceedsFromStockOptionsExercised_USD,PropertyPlantAndEquipmentGross_USD,PropertyPlantAndEquipmentNet_USD,ProvisionForDoubtfulAccounts_USD,PurchaseObligation_USD,PurchaseObligationDueAfterFifthYear_USD,PurchaseObligationDueInFifthYear_USD,PurchaseObligationDueInFourthYear_USD,PurchaseObligationDueInNextTwelveMonths_USD,PurchaseObligationDueInSecondYear_USD,PurchaseObligationDueInThirdYear_USD,ReclassificationsOfTemporaryToPermanentEquity_USD,ResearchAndDevelopmentExpense_USD,RestrictedCash_USD,RestrictedCashAndCashEquivalentsNoncurrent_USD,RetainedEarningsAccumulatedDeficit_USD,RevenueFromContractWithCustomerExcludingAssessedTax_USD,Revenues_USD,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability_USD,SalesAndExciseTaxPayableCurrent_USD,SellingAndMarketingExpense_USD,ShareBasedCompensation_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber_shares,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1_USD,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1_USD,ShortTermLeaseCost_USD,StockholdersEquity_USD,StockholdersEquityNoteStockSplitConversionRatio1_pure,StockIssuedDuringPeriodValueNewIssues_USD,StockIssuedDuringPeriodValueStockOptionsExercised_USD,TemporaryEquityCarryingAmountAttributableToParent_USD,TemporaryEquityLiquidationPreference_USD,TemporaryEquitySharesAuthorized_shares,UnbilledReceivablesNotBillableAtBalanceSheetDate_USD,UnrecognizedTaxBenefits_USD,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions_USD,WeightedAverageNumberOfShareOutstandingBasicAndDiluted_shares,WorkersCompensationLiabilityCurrent_USD,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_USD,OperatingLeaseImpairmentLoss_USD,OtherAssetsMiscellaneousNoncurrent_USD,OtherLiabilitiesCurrent_USD,UnbilledReceivablesCurrent_USD,EarningsPerShareBasic_USD/shares,EarningsPerShareDiluted_USD/shares,InvestmentIncomeInterest_USD,ProceedsFromIssuanceOfCommonStock_USD,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares,CapitalizedComputerSoftwareAdditions_USD,DepreciationDepletionAndAmortization_USD,IncreaseDecreaseInContractWithCustomerLiability_USD,IncreaseDecreaseInDeferredCharges_USD,IncreaseDecreaseInEmployeeRelatedLiabilities_USD,ProceedsFromStockPlans_USD
2022-03-25,True,2031300000.0,14267000,126812000,2632000,611000.0,4542000.0,3925000,18885000,15993000,15970000,3773000,1788390000,18000,204130000,6300000.0,200568000,20000.0,30000.0,23496540,1623675000,1532589000,1283000.0,1400000.0,9900000.0,-25748000,89331000,0,89331000,32205000,57126000,1355828000,1357611000.0,1357611000,1085035000,42248307,2900000.0,30788000,319161000,349113000.0,63440000,1125000.0,1173000.0,48000.0,23383000,57126000,32205000,-187000.0,-187000.0,29690000.0,6000000.0,206416000,16873000,2687000.0,224874000.0,334000.0,167218000.0,18883000.0,100000.0,25772000.0,5542000.0,194850000.0,2837000.0,0.0,2498000,-3.48,-0.003,0.21,-0.454,0.006,-0.007,0.131,0.082,0.029,56939000,3562000,5200000,0.0,0.0,0,112108000,257329000,0.0,-294299000.0,-289152000,5147000.0,986000,739000,8464000,33364000,-895000,1608000,75992000,-2567000.0,13626000,32379000.0,3439000,20603000,1277000,3781000,3737000.0,3734000,4150000,3924000,1990000,1800000,341384000,1623675000,308677000,1147846000,-6596000,-56215000,-290138000,1.0,1.0,546643000,-289314000,3106000,18613000,3130000,15483000,3291000,15420000,0.038,131400000.0,2643000,19285000.0,7386000.0,7076000.0,4823000.0,750000,351000,-14000,162000,229000.0,4522000.0,105642000,214000,50000000.0,6382000,2709000,0.0,1.5e-05,100000000.0,0.0,0.0,17744000,1252974000.0,174724000.0,80000000.0,5036000,19670000,15897000,14000.0,69526000.0,1277000.0,3737000.0,7901000.0,17736000.0,20246000.0,18629000.0,349100000.0,165031000,1800000,1783000.0,-506102000,320769000,320769000,2036000.0,1191000.0,269504000,200568000,0.0,0.502,0.49,0.0104,0.009,168300000,18.46,10531267,204130000,6500000,333000,1282291000,2.0,1246925000.0,5036000,349113000.0,349760000.0,94127984.0,223289000,4849000.0,56000.0,2644000.0,475000.0,83276526.0,56939000,,,,,,,,,,,,,,,,,,
2022-06-09,False,,9565000,89944000,1793000,,,5339000,11104000,11787000,17674000,4658000,1835930000,3000,47141000,,46259000,,,25595768,1580382000,1482348000,,,,9138000,95405000,0,95405000,32200000,63205000,1340900000,,1342685000,-14928000,51636892,,98094000,101455000,,19389000,,,,23655000,63205000,32200000,,,,,204428000,15500000,,,,,,,,,,,,906000,-0.43,,,,,,,,,50611000,882000,4000000,0.0,0.0,0,32523000,81508000,,,-77932000,,285000,215000,-4702000,-36887000,1506000,-558000,-3361000,,1552000,-6328000.0,978000,19669000,1277000,3924000,,3737000,3734000,4150000,1818000,1800000,328768000,1580382000,298260000,396000,-1605000,-13719000,-78217000,,,159950000,-78442000,878000,17851000,3186000,14665000,935000,14715000,0.038,,34829000,,,,,599000,15008000,19000,510000,,,125000,13000,,1592000,7654000,,,,,,19304000,,,,521000,22157000,17499000,,,,,,,,,,47175000,1800000,,-584319000,100897000,100897000,,,80252000,46259000,,,,,,34800000,,10137530,47141000,1300000,100000,1251614000,,,521000,,,,219928000,,,,,182947630.0,50611000,2847000.0,0.0,2615000.0,1476000.0,2300000.0,,,,,,,,,,,,,
2022-09-02,False,,11223000,111604000,2359000,,,2557000,11560000,17066000,19128000,5699000,1889310000,2000,43309000,,88662000,,,24330022,1567351000,1458592000,,,,19980000,109019000,0,109019000,36219000,72800000,1291834000,,1293621000,-63992000,49024402,,121434000,114550000,,21540000,,,,22348000,72800000,36219000,,,,,213385000,13427000,,,,,,,,,,,,1000000,,,,,,,,,,54978000,1788000,2900000,,,0,35383000,92323000,,,-74627000,,137000,408000,-3044000,-15227000,-1741000,-687000,3523000,,1175000,-1961000.0,924000,18730000,1277000,3924000,,3737000,3734000,4150000,1651000,1800000,337121000,1567351000,309305000,10465000,-3588000,-70869000,-74764000,,,170942000,-78619000,878000,17079000,3244000,13835000,1874000,14004000,0.038,,35959000,,,,,787000,14389000,19000,66000,,,202000,72000,,3516000,4078000,,,,,,18935000,,,,2166000,25046000,19347000,,,,,,,,,,47885000,1800000,,-659083000,113863000,113863000,,,87674000,88662000,,,,,,59500000,,9750090,90450000,2800000,46000,1230230000,,,1645000,,,,226812000,,,,,,54978000,1908000.0,0.0,2608000.0,1570000.0,1600000.0,-0.4,-0.4,3926000.0,8501000.0,8501000.0,185211526.0,185211526.0,,,,,,
2022-12-07,False,,16367000,115279000,2219000,,,1557000,9928000,12165000,19795000,6890000,1938244000,1000,47964000,,46710000,,,23724000,1553365000,1441934000,,900000.0,,31511000,110822000,0,110822000,37317000,73505000,1274901000,,1276693000,-80920000,47503000,,131351000,123981000,,22548000,,,,21569000,73505000,37317000,,,,,220579000,13603000,,,,,,,,,,,,1200000,,,,,,,,,,53204000,1254000,2100000,,,0,33372000,102793000,,,-71636000,,322000,1090000,2100000,-11541000,-2663000,1360000,10893000,,-3391000,,917000,17777000,1277000,3924000,,3737000,3734000,4150000,1492000,1800000,346159000,1553365000,319028000,11434000,-6314000,-86040000,-71958000,,,180131000,-77338000,878000,16285000,3302000,12983000,2827000,13285000,0.038,,37926000,,,,,962000,13528000,8000,-2882000,,2028000.0,222000,140000,,6174000,8135000,,,,,,14437000,,,,3155000,29026000,22136000,,,,,,,,,,53887000,1800000,,-731041000,125341000,125341000,2036000.0,,92872000,135372000,,,,,,74100000,,9557057,47964000,3800000,39000,1207206000,,,989000,,,,234182000,,,,,,53204000,955000.0,0.0,2505000.0,2450000.0,3000000.0,-0.38,-0.38,8584000.0,,8501000.0,187080000.0,187080000.0,3900000.0,3178000.0,-1814000.0,21491000.0,-3735000.0,8501000.0
