filing_date,annual,EntityCommonStockSharesOutstanding_shares,EntityNumberOfEmployees_employee,EntityNumberOfEmployees_employees,EntityPublicFloat_USD,AcceleratedShareRepurchasesFinalPricePaidPerShare_USD/shares,AcceleratedShareRepurchasesSettlementPaymentOrReceipt_USD,AccountsPayable_USD,AccountsPayableCurrent_USD,AccountsReceivableNet_USD,AccountsReceivableNetCurrent_USD,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AdditionalPaidInCapitalCommonStock_USD,AdjustmentsToAdditionalPaidInCapitalOther_USD,AllocatedShareBasedCompensationExpense_USD,AllowanceForDoubtfulAccountsReceivableCurrent_USD,AlternativeInvestmentsFairValueDisclosure_USD,AmortizationOfDebtDiscountPremium_USD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_shares,AssetImpairmentCharges_USD,Assets_USD,AssetsCurrent_USD,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue_USD,AvailableForSaleSecuritiesFairValueDisclosure_USD,AvailableForSaleSecuritiesNoncurrent_USD,CapitalizedContractCostGross_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations_USD,CommonStockDividendsPerShareCashPaid_USD/shares,CommonStockDividendsPerShareDeclared_USD/shares,CommonStockParOrStatedValuePerShare_USD/shares,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,CompensatedAbsencesLiability_USD,ComprehensiveIncomeNetOfTax_USD,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest_USD,ContractWithCustomerAssetNet_USD,ContractWithCustomerLiability_USD,ConvertibleDebt_USD,CostMaintenance_USD,CostOfServicesDepreciation_USD,CostOfServicesMaintenanceCosts_USD,CostsAndExpenses_USD,CumulativeEffectOfInitialAdoptionOfFIN48_USD,CurrentFederalTaxExpenseBenefit_USD,CurrentIncomeTaxExpenseBenefit_USD,CurrentStateAndLocalTaxExpenseBenefit_USD,DebtAndCapitalLeaseObligations_USD,DebtConversionConvertedInstrumentAmount_USD,DebtConversionConvertedInstrumentRate_pure,DebtConversionConvertedInstrumentSharesIssued1_shares,DebtConversionOriginalDebtAmount_USD,DebtConversionOriginalDebtAmount1_USD,DebtConversionOriginalDebtInterestRateOfDebt_pure,DebtInstrumentConvertibleNumberOfEquityInstruments_shares,DebtInstrumentDecreaseRepayments_USD,DebtInstrumentIncreaseAdditionalBorrowings_USD,DebtInstrumentIncreaseDecreaseForPeriodNet_USD,DebtInstrumentIncreaseDecreaseOtherNet_USD,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction_USD,DeferredCompensationLiabilityClassifiedNoncurrent_USD,DeferredFederalIncomeTaxExpenseBenefit_USD,DeferredFinanceCostsNoncurrentNet_USD,DeferredIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxLiabilitiesNet_USD,DeferredRevenueLeasesGrossNoncurrent_USD,DeferredRevenueNoncurrent_USD,DeferredStateAndLocalIncomeTaxExpenseBenefit_USD,DeferredTaxAssetsLiabilitiesNet_USD,DeferredTaxAssetsNet_USD,DeferredTaxAssetsNetCurrent_USD,DeferredTaxAssetsOther_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions_USD,DeferredTaxLiabilities_USD,DeferredTaxLiabilitiesNoncurrent_USD,DeferredTaxLiabilitiesOther_USD,DeferredTaxLiabilitiesPropertyPlantAndEquipment_USD,DefinedBenefitPensionPlanLiabilitiesNoncurrent_USD,DefinedBenefitPlanAccumulatedBenefitObligationIncreaseDecreaseForSettlementAndCurtailment_USD,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate_pure,DefinedBenefitPlanContributionsByEmployer_USD,DefinedBenefitPlanDebtSecurities_pure,DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation_USD,DefinedBenefitPlanEquitySecurities_pure,DefinedBenefitPlanEstimatedFutureEmployerContributionsInCurrentFiscalYear_USD,DefinedBenefitPlanEstimatedFutureEmployerContributionsInNextFiscalYear_USD,DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear_USD,DefinedBenefitPlanExpectedFutureEmployerContributionsRemainderOfFiscalYear_USD,DefinedBenefitPlanFairValueOfPlanAssets_USD,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets_USD,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation_USD,DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets_USD,DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsProjectedBenefitObligation_USD,DefinedBenefitPlanPlanAmendments_USD,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateBenefitObligation_USD,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets_USD,DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear_USD,DefinedBenefitPlansEstimatedFutureEmployerContributionsInNextFiscalYear_USD,DefinedBenefitPlanWeightedAverageAssetAllocations_pure,DefinedContributionPlanCostRecognized_USD,Depreciation_USD,DilutiveSecuritiesEffectOnBasicEarningsPerShareOther_USD,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax_USD,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax_USD,DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation_USD,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss_USD,DisposalGroupIncludingDiscontinuedOperationRevenue_USD,DividendsCash_USD,DividendsCommonStockCash_USD,DividendsPayableAmountPerShare_USD/shares,DueFromAffiliateCurrent_USD,DueFromAffiliates_USD,DueToAffiliateCurrent_USD,DueToAffiliateNoncurrent_USD,EarningsPerShareBasic_USD/shares,EarningsPerShareDiluted_USD/shares,EffectiveIncomeTaxRateContinuingOperations_pure,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate_pure,EffectiveIncomeTaxRateReconciliationOtherAdjustments_pure,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes_pure,EffectOnRetainedEarningsAccumulatedDeficitDueToChangeInMeasurementDateNetOfTax_USD,EmployeeRelatedLiabilities_USD,EmployeeRelatedLiabilitiesCurrent_USD,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense_USD,EnvironmentalRemediationExpense_USD,EquityMethodInvestments_USD,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities_USD,ExtinguishmentOfDebtAmount_USD,FinanceLeaseLiability_USD,FuelCosts_USD,GainLossOnDispositionOfAssets_USD,GainLossOnDispositionOfProperty_USD,GainLossOnRepurchaseOfDebtInstrument_USD,GainLossOnSaleOfOtherAssets_USD,GainLossOnSaleOfPropertyPlantEquipment_USD,GainsLossesOnExtinguishmentOfDebt_USD,GainsLossesOnSalesOfAssets_USD,Goodwill_USD,GuaranteeObligationsCurrentCarryingValue_USD,IncomeLossFromContinuingOperations_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeLossFromContinuingOperationsPerBasicShare_USD/shares,IncomeLossFromContinuingOperationsPerDilutedShare_USD/shares,IncomeLossFromDiscontinuedOperationsNetOfTax_USD,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity_USD,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare_USD/shares,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare_USD/shares,IncomeLossFromEquityMethodInvestments_USD,IncomeLossFromSubsidiariesBeforeTax_USD,IncomeTaxExaminationLiabilityRecorded_USD,IncomeTaxExaminationLiabilityRefundAdjustmentFromSettlementWithTaxingAuthority_USD,IncomeTaxExaminationPenaltiesAndInterestAccrued_USD,IncomeTaxExpenseBenefit_USD,IncomeTaxesPaid_USD,IncomeTaxesPaidNet_USD,IncomeTaxReconciliationChangeInEnactedTaxRate_USD,IncomeTaxReconciliationDeductionsMedicarePrescriptionDrugBenefitSubsidy_USD,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_USD,IncomeTaxReconciliationOtherReconcilingItems_USD,IncomeTaxReconciliationStateAndLocalIncomeTaxes_USD,IncreaseDecreaseInAccountsPayable_USD,IncreaseDecreaseInAccountsReceivable_USD,IncreaseDecreaseInAccruedIncomeTaxesPayable_USD,IncreaseDecreaseInAccruedTaxesPayable_USD,IncreaseDecreaseInOtherCurrentAssets_USD,IncreaseDecreaseInOtherCurrentLiabilities_USD,IncreaseDecreaseInOtherOperatingAssets_USD,IncreaseDecreaseInOtherOperatingLiabilities_USD,IncreaseDecreaseInRestructuringReserve_USD,IncrementalCommonSharesAttributableToConversionOfDebtSecurities_shares,IntangibleAssetsNetIncludingGoodwill_USD,InterestExpense_USD,InterestIncomeExpenseNet_USD,InterestIncomeExpenseNonoperatingNet_USD,InterestOnConvertibleDebtNetOfTax_USD,InterestPaidNet_USD,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures_USD,LaborAndRelatedExpense_USD,LeaseAndRentalExpense_USD,LesseeFinanceLeaseDiscountRate_pure,LesseeOperatingLeaseLiabilityPaymentsDue_USD,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFour_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearThree_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo_USD,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_USD,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount_USD,Liabilities_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,LineOfCreditFacilityMaximumBorrowingCapacity_USD,LongTermDebt_USD,LongTermDebtAndCapitalLeaseObligations_USD,LongTermDebtAndCapitalLeaseObligationsCurrent_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo_USD,LongTermPurchaseCommitmentMinimumQuantityRequired_pure,LossContingencyAccrualAtCarryingValue_USD,LossContingencyAccrualCarryingValueCurrent_USD,LossContingencyAccrualCarryingValueNoncurrent_USD,LossContingencyAccrualCarryingValuePayments_USD,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease_USD,LossContingencyAccrualCarryingValueProvision_USD,LossContingencyAccrualPayments_USD,LossContingencyAccrualProvision_USD,LossContingencyRangeOfPossibleLossMaximum_USD,LossContingencyRangeOfPossibleLossMinimum_USD,MaterialsSuppliesAndOther_USD,MinorityInterest_USD,MultiemployerPlanContributionsByEmployer_USD,MultiemployerPlanPeriodContributions_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,NetIncomeLossAttributableToNoncontrollingInterest_USD,NetIncomeLossAvailableToCommonStockholdersDiluted_USD,NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent_USD,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1_USD,NonoperatingIncomeExpense_USD,NumberOfStatesInWhichEntityOperates_pure,NumberOfStatesInWhichEntityOperates_state,NumberOfStatesInWhichEntityOperates_states,OciBeforeReclassificationsBeforeTaxAttributableToParent_USD,OperatingCostsAndExpenses_USD,OperatingExpenses_USD,OperatingIncomeLoss_USD,OperatingLeaseCost_USD,OperatingLeaseLiability_USD,OperatingLeaseLiabilityCurrent_USD,OperatingLeaseLiabilityNoncurrent_USD,OperatingLeasePayments_USD,OperatingLeaseRightOfUseAsset_USD,OperatingLeasesFutureMinimumPaymentsDue_USD,OperatingLeasesFutureMinimumPaymentsDueCurrent_USD,OperatingLeasesFutureMinimumPaymentsDueInFiveYears_USD,OperatingLeasesFutureMinimumPaymentsDueInFourYears_USD,OperatingLeasesFutureMinimumPaymentsDueInThreeYears_USD,OperatingLeasesFutureMinimumPaymentsDueInTwoYears_USD,OperatingLeasesFutureMinimumPaymentsDueThereafter_USD,OperatingLeasesFutureMinimumPaymentsReceivable_USD,OperatingLeasesFutureMinimumPaymentsReceivableCurrent_USD,OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears_USD,OperatingLeasesFutureMinimumPaymentsReceivableInFourYears_USD,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears_USD,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears_USD,OperatingLeasesFutureMinimumPaymentsReceivableThereafter_USD,OperatingLeaseWeightedAverageDiscountRatePercent_pure,OtherAdditionalCapital_USD,OtherAssetsCurrent_USD,OtherAssetsMiscellaneousNoncurrent_USD,OtherAssetsNoncurrent_USD,OtherComprehensiveIncomeDefinedBenefitPlansTax_USD,OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax_USD,OtherComprehensiveIncomeLossNetOfTax_USD,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent_USD,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax_USD,OtherComprehensiveIncomeLossTaxPortionAttributableToParent1_USD,OtherComprehensiveIncomeOtherNetOfTax_USD,OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostBeforeTax_USD,OtherCostAndExpenseOperating_USD,OtherIncome_USD,OtherLiabilitiesCurrent_USD,OtherLiabilitiesNoncurrent_USD,OtherNonoperatingIncomeExpense_USD,OtherOperatingActivitiesCashFlowStatement_USD,OtherOperatingIncomeExpenseNet_USD,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent_USD,OtherSundryLiabilitiesNoncurrent_USD,ParticipatingSecuritiesDistributedAndUndistributedEarnings_USD,ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic_USD,ParticipatingSecuritiesDistributedAndUndistributedEarningsLossDiluted_USD,PaymentOfFinancingAndStockIssuanceCosts_USD,PaymentsForProceedsFromOtherInvestingActivities_USD,PaymentsForRepurchaseOfCommonStock_USD,PaymentsForRepurchaseOfEquity_USD,PaymentsForRestructuring_USD,PaymentsOfDividends_USD,PaymentsOfDividendsCommonStock_USD,PaymentsOfFinancingCosts_USD,PaymentsToAcquireBusinessesNetOfCashAcquired_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PaymentsToAcquireShortTermInvestments_USD,PensionContributions_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromDivestitureOfInterestInConsolidatedSubsidiaries_USD,ProceedsFromIssuanceOfLongTermDebt_USD,ProceedsFromPaymentsForOtherFinancingActivities_USD,ProceedsFromSaleOfPropertyPlantAndEquipment_USD,ProceedsFromSaleOfShortTermInvestments_USD,ProceedsFromStockOptionsExercised_USD,PropertyPlantAndEquipmentAdditions_USD,PropertyPlantAndEquipmentGross_USD,PropertyPlantAndEquipmentNet_USD,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax_USD,ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent_USD,RecordedThirdPartyEnvironmentalRecoveriesAmount_USD,ReinsuranceLossOnUncollectibleAccountsInPeriodAmount_USD,RepaymentsOfDebt_USD,RepaymentsOfDebtAndCapitalLeaseObligations_USD,RepaymentsOfLongTermDebt_USD,RestructuringAndRelatedCostIncurredCost_USD,RestructuringCharges_USD,RestructuringCosts_USD,RetainedEarningsAccumulatedDeficit_USD,RevenueFromContractWithCustomerExcludingAssessedTax_USD,RevenueRemainingPerformanceObligation_USD,Revenues_USD,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability_USD,SalesRevenueNet_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedGoodsAndNonemployeeServicesTransactionExpense_USD,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued_shares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1_USD,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares_shares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares_shares,ShortTermInvestments_USD,SignificantAcquisitionsAndDisposalsAcquisitionCostsOrSaleProceeds_USD,SignificantAcquisitionsAndDisposalsGainLossOnSaleOrDisposalNetOfTax_USD,SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit_USD,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations_USD,StockholdersEquity_USD,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_USD,StockholdersEquityNoteStockSplitConversionRatio1_pure,StockholdersEquityOther_USD,StockIssuedDuringPeriodSharesStockOptionsExercised_shares,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities_USD,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments_USD,StockIssuedDuringPeriodValueShareBasedCompensation_USD,StockRepurchasedAndRetiredDuringPeriodShares_shares,StockRepurchasedAndRetiredDuringPeriodValue_USD,StockRepurchasedDuringPeriodValue_USD,StockRepurchaseProgramAuthorizedAmount_USD,StockRepurchaseProgramAuthorizedAmount1_USD,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount_USD,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1_USD,TaxAdjustmentsSettlementsAndUnusualProvisions_USD,TaxCutsAndJobsActOf2017ReclassificationFromAociToRetainedEarningsTaxEffect_USD,TaxesPayable_USD,TaxesPayableCurrent_USD,TreasuryStockAcquiredAverageCostPerShare_USD/shares,TreasuryStockSharesAcquired_shares,UnrecognizedTaxBenefits_USD,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities_USD,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromSettlementsWithTaxingAuthorities_USD,UnrecognizedTaxBenefitsPeriodIncreaseDecrease_USD,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_USD,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate_USD,UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary_USD,UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary_USD,UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary_USD,UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary_USD,UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary_USD,UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount_USD,UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears_USD,WeightedAverageNumberDilutedSharesOutstandingAdjustment_shares,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares,AmortizationOfIntangibleAssets_USD,DebtInstrumentFaceAmount_USD,FiniteLivedIntangibleAssetsAccumulatedAmortization_USD,FinitelivedIntangibleAssetsAcquired1_USD,GoodwillAcquiredDuringPeriod_USD,IntangibleAssetsGrossExcludingGoodwill_USD,IntangibleAssetsNetExcludingGoodwill_USD,DepreciationDepletionAndAmortization_USD,StockIssued1_USD,StockIssuedDuringPeriodValueAcquisitions_USD,GovernmentAssistanceAmount_USD,NumberOfOperatingSegments_operatingSegment,NumberOfReportableSegments_site,StockIssuedDuringPeriodSharesAcquisitions_shares
2009-04-15,False,391459772,,,,,,934000000.0,,,958000000,7637000000,-742000000,,,,,,,,,,26567000000,2600000000,,,,,1056000000.0,387000000.0,,,,,0.22,,,,,,392000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79000000,,,,,,,151000000.0,,,,,6266000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,224000000.0,,,,,,,,,,,,,,0.63,0.62,,,,,,,369000000.0,,,,,,,,191000000,,,,,,,,,,,,,,,,,,,,,,,-126000000,,,,,,,,-36000000,132000000,31000000.0,,,,-76000000.0,-86000000.0,,,,-141000000.0,,,,,399000000.0,662000000,,,,,,,,,,,,18362000000,26567000000,2070000000,,,7995000000,314000000,,,,,,,,,,,,,,,,,,,,,,210000000,-272000000,449000000,246000000,,,,,,,,,,,1725000000.0,522000000,,,,,,,,,,,,,,,,,,,,,,,112000000,,189000000,,,,,,,,,,,,,120000000,1395000000,-9000000.0,,,,,,,,,-37000000,,0.0,,86000000.0,,,,309000000,0.0,,,,,,500000000.0,-180000000,,0.0,2000000.0,,30399000000,22762000000,,,,,,,26000000.0,,,,8534000000,,,2247000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000.0,,,,,8205000000.0,,,,,,,,,,,,,,,,,116000000.0,,,,,,,,,,,,,,,,,,,,,,394101,391160,,,,,,,,,,,,,,
2009-07-15,False,392190182,,,372994680.0,,,904000000.0,,,885000000,7697000000,-735000000,29000000.0,,,,,,,,,26735000000,2636000000,,,,,1108000000.0,439000000.0,,,,,0.22,,,,,,392000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212000000,,,,,,,159000000.0,,,,,6417000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,229000000.0,,,,,,,,,,,,,,0.79,0.78,,,,,,,349000000.0,,,,,,,,185000000,,,,,,,,,,285000000.0,,0.73,0.72,-23000000.0,,0.06,0.06,,,,,,-168000000,,,,,,,,-56000000,202000000,-13000000.0,,,,-83000000.0,-117000000.0,,,,-139000000.0,,,,,405000000.0,654000000,,,,,,,,,,,,18279000000,26735000000,1961000000,,,7933000000,318000000,,,,,,,,,,,,,,,,,,,,,,76000000,-618000000,981000000,308000000,,,,,,,,,,,1603000000.0,582000000,,,,,,,,,,,,,,,,,,,,,,,160000000,,185000000,,,,,,,,,,,,,99000000,1389000000,10000000.0,,,,,,,,,-49000000,,0.0,,176000000.0,,,,667000000,0.0,,,,,,500000000.0,-177000000,,0.0,12000000.0,,30584000000,22887000000,,,,,,,83000000.0,,,,8757000000,,,2185000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,,8456000000.0,,,,,,,,,,,,,,,,,110000000.0,,,,,,,,,,,,,,,,,,,,,,395370,392027,,,,,,,,,,,,,,
2009-10-20,False,392558925,,,373485849.0,,,,963000000.0,,928000000,7765000000,-728000000,,48000000.0,,,,,,,,27020000000,2770000000,,,,,1240000000.0,571000000.0,,,,,0.22,,,,,,393000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000000,,,,,,,171000000.0,,,,,6551000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,228000000.0,,,,,,,,,,,,,,0.75,0.74,,,,,,,,402000000.0,,,,,,,223000000,,,,,,,,,,293000000.0,,0.75,0.74,,0.0,0.0,0.0,,,,,,171000000,,,,,,,,-4000000,159000000,39000000.0,,,,-50000000.0,-80000000.0,,,,-140000000.0,,,,,411000000.0,653000000,,,,,,,,,,,,18331000000,27020000000,2076000000,,,7906000000,316000000,,,,,,,,,,,,,,,,,,,13000000.0,,,-38000000,-995000000,1604000000,293000000,,,,,,,,,,,1691000000.0,598000000,,,,,,,,,,,,,,,,,,,,,,,111000000,,173000000,,,,,,,,,,,,,95000000,1218000000,6000000.0,,,,,,,,,-51000000,,0.0,,259000000.0,,,,1046000000,0.0,-166000000.0,,,,,500000000.0,-188000000,,0.0,19000000.0,,30805000000,23040000000,,,,,,,110000000.0,,,,8963000000,,,2289000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81000000.0,,,,,,8689000000.0,,,,,,,,,,,,,,,,,121000000.0,,,,,,,,,,,,,,,,,,,,,396333,392352,,,,,,,,,,,,,,
