filing_date,annual,EntityPublicFloat_USD,AccountsPayableCurrent_USD,AccountsReceivableNet_USD,AccountsReceivableNetCurrent_USD,AccruedLiabilitiesCurrent_USD,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AcquiredFiniteLivedIntangibleAssetResidualValue_USD,AdditionalPaidInCapitalCommonStock_USD,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation_USD,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_USD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation_USD,AdvertisingExpense_USD,AllocatedShareBasedCompensationExpense_USD,AllowanceForDoubtfulAccountsReceivable_USD,AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease_USD,AllowanceForDoubtfulAccountsReceivableRecoveries_USD,AmortizationOfDebtDiscountPremium_USD,AmortizationOfFinancingCosts_USD,AmortizationOfIntangibleAssets_USD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_shares,AssetImpairmentCharges_USD,Assets_USD,AssetsCurrent_USD,AssetsNoncurrent_USD,AssetsOfDisposalGroupIncludingDiscontinuedOperation_USD,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice_USD,BusinessAcquisitionsProFormaNetIncomeLoss_USD,BusinessAcquisitionsProFormaRevenue_USD,BusinessCombinationAcquisitionRelatedCosts_USD,BusinessCombinationBargainPurchaseGainRecognizedAmount_USD,BusinessExitCosts1_USD,CapitalExpendituresIncurredButNotYetPaid_USD,CapitalLeaseObligationsCurrent_USD,CapitalLeaseObligationsNoncurrent_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashSurrenderValueOfLifeInsurance_USD,ComprehensiveIncomeNetOfTax_USD,ContractWithCustomerLiability_USD,ContractWithCustomerLiabilityRevenueRecognized_USD,CostMethodInvestments_USD,CostOfGoodsAndServicesSold_USD,CostOfGoodsSold_USD,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption_USD,CumulativeEffectOnRetainedEarningsNetOfTax1_USD,CurrentFederalTaxExpenseBenefit_USD,CurrentForeignTaxExpenseBenefit_USD,CurrentIncomeTaxExpenseBenefit_USD,CurrentStateAndLocalTaxExpenseBenefit_USD,CustomerRefundLiabilityCurrent_USD,CustomerRefundLiabilityNoncurrent_USD,DebtInstrumentCarryingAmount_USD,DebtInstrumentInterestRateDuringPeriod_pure,DebtInstrumentInterestRateEffectivePercentage_pure,DebtInstrumentInterestRateStatedPercentage_pure,DebtInstrumentPrincipalOutstanding_USD,DeferredCompensationEquity_USD,DeferredCompensationLiabilityClassifiedNoncurrent_USD,DeferredFederalIncomeTaxExpenseBenefit_USD,DeferredFinanceCostsGross_USD,DeferredFinanceCostsNet_USD,DeferredForeignIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxAssetsNet_USD,DeferredIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxesAndTaxCredits_USD,DeferredStateAndLocalIncomeTaxExpenseBenefit_USD,DeferredTaxAssetsCapitalLossCarryforwards_USD,DeferredTaxAssetsDeferredIncome_USD,DeferredTaxAssetsGoodwillAndIntangibleAssets_USD,DeferredTaxAssetsGross_USD,DeferredTaxAssetsInventory_USD,DeferredTaxAssetsLiabilitiesNet_USD,DeferredTaxAssetsNet_USD,DeferredTaxAssetsNetCurrent_USD,DeferredTaxAssetsNetNoncurrent_USD,DeferredTaxAssetsOperatingLossCarryforwardsDomestic_USD,DeferredTaxAssetsOperatingLossCarryforwardsForeign_USD,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal_USD,DeferredTaxAssetsOther_USD,DeferredTaxAssetsTaxCreditCarryforwardsForeign_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation_USD,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent_USD,DeferredTaxAssetsValuationAllowance_USD,DeferredTaxLiabilities_USD,DeferredTaxLiabilitiesDeferredExpense_USD,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets_USD,DeferredTaxLiabilitiesOther_USD,DeferredTaxLiabilitiesPrepaidExpenses_USD,DeferredTaxLiabilitiesPropertyPlantAndEquipment_USD,DefinedContributionPlanCostRecognized_USD,Depreciation_USD,DepreciationAndAmortization_USD,DerivativeAssets_USD,DerivativeLiabilities_USD,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal_USD,Dividends_USD,DividendsStock_USD,DueToRelatedPartiesCurrent_USD,EarningsPerShareBasic_USD/shares,EarningsPerShareDiluted_USD/shares,EffectiveIncomeTaxRateContinuingOperations_pure,EffectiveIncomeTaxRateContinuingOperations_Rate,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance_pure,EffectiveIncomeTaxRateReconciliationDispositionOfAssets_pure,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential_pure,EffectiveIncomeTaxRateReconciliationNondeductibleExpense_pure,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses_pure,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther_pure,EffectiveIncomeTaxRateReconciliationOtherAdjustments_pure,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes_pure,EffectOfExchangeRateOnCashAndCashEquivalents_USD,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_USD,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition_pure,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense_USD,EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile_USD,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities_USD,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities_USD,FiniteLivedIntangibleAssetsAccumulatedAmortization_USD,FiniteLivedIntangibleAssetsAmortizationExpense_USD,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive_USD,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo_USD,FiniteLivedIntangibleAssetsGross_USD,FiniteLivedIntangibleAssetsNet_USD,FiniteLivedIntangibleAssetsUsefulLifeMaximum_months,FiniteLivedIntangibleAssetsUsefulLifeMinimum_months,FinitelivedIntangibleAssetsAcquired1_USD,ForeignCurrencyCashFlowHedgeGainLossReclassifiedToEarningsNet_USD,ForeignCurrencyContractAssetFairValueDisclosure_USD,ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue_USD,ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue_USD,ForeignCurrencyTransactionGainLossRealized_USD,ForeignCurrencyTransactionGainLossUnrealized_USD,FutureAmortizationExpenseYearFive_USD,FutureAmortizationExpenseYearFour_USD,FutureAmortizationExpenseYearOne_USD,FutureAmortizationExpenseYearThree_USD,FutureAmortizationExpenseYearTwo_USD,GainLossOnDispositionOfAssets_USD,GainLossOnDispositionOfProperty_USD,GainsLossesOnExtinguishmentOfDebt_USD,Goodwill_USD,GoodwillAcquiredDuringPeriod_USD,GoodwillAndIntangibleAssetImpairment_USD,GoodwillForeignCurrencyTranslationGainLoss_USD,GoodwillImpairmentLoss_USD,GoodwillImpairmentLossNetOfTax_USD,GoodwillTranslationAdjustments_USD,GrossProfit_USD,ImpairmentOfIntangibleAssetsFinitelived_USD,ImpairmentOfLongLivedAssetsHeldForUse_USD,ImpairmentOfLongLivedAssetsToBeDisposedOf_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments_USD,IncomeLossFromEquityMethodInvestments_USD,IncomeTaxExpenseBenefit_USD,IncomeTaxesPaid_USD,IncomeTaxesPaidNet_USD,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance_USD,IncomeTaxReconciliationChangeInEnactedTaxRate_USD,IncomeTaxReconciliationDispositionOfAssets_USD,IncomeTaxReconciliationForeignIncomeTaxRateDifferential_USD,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_USD,IncomeTaxReconciliationNondeductibleExpense_USD,IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses_USD,IncomeTaxReconciliationNondeductibleExpenseOther_USD,IncomeTaxReconciliationOtherAdjustments_USD,IncomeTaxReconciliationStateAndLocalIncomeTaxes_USD,IncreaseDecreaseInAccountsPayable_USD,IncreaseDecreaseInAccountsReceivable_USD,IncreaseDecreaseInAccruedIncomeTaxesPayable_USD,IncreaseDecreaseInEmployeeRelatedLiabilities_USD,IncreaseDecreaseInIncomeTaxes_USD,IncreaseDecreaseInInventories_USD,IncreaseDecreaseInOtherNoncurrentAssets_USD,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets_USD,IncreaseDecreaseInRestrictedCash_USD,IndefiniteLivedIntangibleAssets_USD,IndefiniteLivedIntangibleAssetsExcludingGoodwill_USD,IntangibleAssetsNetExcludingGoodwill_USD,InterestAndDividendIncomeSecuritiesTradingOrMeasuredAtFairValue_USD,InterestCostsCapitalized_USD,InterestExpenseDebt_USD,InterestIncomeExpenseNet_USD,InterestPaid_USD,InterestPaidNet_USD,InventoryFinishedGoods_USD,InventoryNet_USD,InventoryRawMaterials_USD,InventoryWorkInProcess_USD,InventoryWriteDown_USD,Investments_USD,LeaseAndRentalExpense_USD,LesseeOperatingLeaseLiabilityPaymentsDue_USD,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFour_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearThree_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo_USD,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_USD,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount_USD,LettersOfCreditOutstandingAmount_USD,Liabilities_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,LiabilitiesNoncurrent_USD,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation_USD,LicenseAndMaintenanceRevenue_USD,LineOfCreditFacilityAmountOutstanding_USD,LineOfCreditFacilityCommitmentFeePercentage_pure,LineOfCreditFacilityInterestRateDuringPeriod_pure,LineOfCreditFacilityMaximumBorrowingCapacity_USD,LineOfCreditFacilityRemainingBorrowingCapacity_USD,LinesOfCreditCurrent_USD,LongTermDebt_USD,LongTermDebtCurrent_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo_USD,LongTermDebtNoncurrent_USD,LongTermLineOfCredit_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,NoncashOrPartNoncashAcquisitionDebtAssumed1_USD,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1_USD,NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1_USD,NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1_USD,NoncurrentAssets_USD,NotionalAmountOfForeignCurrencyDerivatives_USD,OperatingIncomeLoss_USD,OperatingLeaseCost_USD,OperatingLeaseLiability_USD,OperatingLeaseLiabilityCurrent_USD,OperatingLeaseLiabilityNoncurrent_USD,OperatingLeasePayments_USD,OperatingLeaseRightOfUseAsset_USD,OperatingLeasesFutureMinimumPaymentsDue_USD,OperatingLeasesFutureMinimumPaymentsDueCurrent_USD,OperatingLeasesFutureMinimumPaymentsDueInFiveYears_USD,OperatingLeasesFutureMinimumPaymentsDueInFourYears_USD,OperatingLeasesFutureMinimumPaymentsDueInThreeYears_USD,OperatingLeasesFutureMinimumPaymentsDueInTwoYears_USD,OperatingLeasesFutureMinimumPaymentsDueThereafter_USD,OperatingLeasesRentExpenseContingentRentals_USD,OperatingLeasesRentExpenseNet_USD,OperatingLeaseWeightedAverageDiscountRatePercent_pure,OperatingLossCarryforwards_USD,OtherAssetsNoncurrent_USD,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax_USD,OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax_USD,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_USD,OtherComprehensiveIncomeLossNetOfTax_USD,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax_USD,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax_USD,OtherLiabilitiesCurrent_USD,OtherLiabilitiesNoncurrent_USD,OtherNonoperatingIncomeExpense_USD,OtherRestructuringCosts_USD,PaymentsForCapitalImprovements_USD,PaymentsForDepositsOnRealEstateAcquisitions_USD,PaymentsForPreviousAcquisition_USD,PaymentsForRestructuring_USD,PaymentsOfDividends_USD,PaymentsOfFinancingCosts_USD,PaymentsRelatedToTaxWithholdingForShareBasedCompensation_USD,PaymentsToAcquireAvailableForSaleSecurities_USD,PaymentsToAcquireBusinessesGross_USD,PaymentsToAcquireBusinessesNetOfCashAcquired_USD,PaymentsToAcquireEquityMethodInvestments_USD,PaymentsToAcquireIntangibleAssets_USD,PaymentsToAcquireInvestments_USD,PaymentsToAcquireNotesReceivable_USD,PaymentsToAcquireOtherProductiveAssets_USD,PaymentsToAcquireProductiveAssets_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PrepaidAdvertising_USD,PrepaidExpenseAndOtherAssetsCurrent_USD,PriorPeriodReclassificationAdjustment_USD,ProceedsFromDivestitureOfBusinesses_USD,ProceedsFromIssuanceOfLongTermDebt_USD,ProceedsFromIssuanceOfOtherLongTermDebt_USD,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions_USD,ProceedsFromLinesOfCredit_USD,ProceedsFromPaymentsForOtherFinancingActivities_USD,ProceedsFromSaleAndCollectionOfReceivables_USD,ProceedsFromSaleOfAvailableForSaleSecuritiesEquity_USD,ProceedsFromSaleOfPropertyPlantAndEquipment_USD,PropertyPlantAndEquipmentGross_USD,PropertyPlantAndEquipmentNet_USD,ProvisionForDoubtfulAccounts_USD,RelatedPartyTransactionAmountsOfTransaction_USD,RelatedPartyTransactionPurchasesFromRelatedParty_USD,RepaymentsOfLinesOfCredit_USD,RepaymentsOfLongTermCapitalLeaseObligations_USD,RepaymentsOfLongTermDebt_USD,RepaymentsOfLongTermLinesOfCredit_USD,RepaymentsOfOtherLongTermDebt_USD,ReportingUnitPercentageOfFairValueInExcessOfCarryingAmount_pure,RestrictedCash_USD,RestrictedCashAndCashEquivalents_USD,RestructuringAndRelatedCostIncurredCost_USD,RestructuringCharges_USD,RestructuringCostsAndAssetImpairmentCharges_USD,RestructuringReserve_USD,RetainedEarningsAccumulatedDeficit_USD,Revenues_USD,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability_USD,SalesRevenueGoodsNet_USD,SalesRevenueNet_USD,SellingGeneralAndAdministrativeExpense_USD,SeniorNotes_USD,SeveranceCosts1_USD,ShareBasedCompensation_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm_years,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTermMaximum_years,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTermMinimum_years,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm_years,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue_USD/shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice_USD/shares,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice_USD/shares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1_USD,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsOutstandingWeightedAverageRemainingContractualTerm1_years,ShippingHandlingAndTransportationCosts_USD,SignificantAcquisitionsAndDisposalsAcquisitionCostsOrSaleProceeds_USD,StockholdersEquity_USD,StockIssuedDuringPeriodSharesStockOptionsExercised_shares,StockIssuedDuringPeriodSharesStockSplits_shares,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities_USD,StockIssuedDuringPeriodValueShareBasedCompensation_USD,StockIssuedDuringPeriodValueStockDividend_USD,StockIssuedDuringPeriodValueStockOptionsExercised_USD,StockRepurchasedAndRetiredDuringPeriodValue_USD,UndistributedEarnings_USD,UndistributedEarningsOfForeignSubsidiaries_USD,UnrealizedGainLossOnDerivatives_USD,UnrecognizedTaxBenefits_USD,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense_USD,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense_USD,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_USD,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate_USD,ValuationAllowanceDeferredTaxAssetChangeInAmount_USD,ValuationAllowancesAndReservesRecoveries_USD,VariableLeasePayment_USD,WeightedAverageNumberDilutedSharesOutstandingAdjustment_shares,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares,GainLossOnSaleOfBusiness_USD,InterestOnConvertibleDebtNetOfTax_USD,NetIncomeLossAttributableToParentDiluted_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTaxParent_USD,PaymentsForRepurchaseOfCommonStock_USD,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear_USD,LitigationReserve_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear_USD,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized_USD,LossContingencyReceivableCurrent_USD
2010-08-05,False,,81183000,,96314000,30880000,,,,206898000,,,,,,,,,,,,,,,570099000,467550000,,,,,,,,,1165000.0,12000.0,12000.0,156089000,-31208000.0,,,,,,,,,,104860000.0,,,,,,,,,,,,,,14000.0,,,,,,,-4031000.0,,,,,,,,,,11339000.0,17993000.0,,,,,,,,,,,,,,,,,,,,15349000,,,,,,,0.07,0.07,,,,,,,,,,,,-2473000.0,,,,,,1445000.0,,,,,,,,,,,,,,,,,,,,-10142000,,,,,,,21000.0,,,,,,,,,99926000,,,,,,6145000,,2643000,,,,,,,,,,,,,13577000,-22498000,-3640000,,,-32084000,,-215000,,,,4657000,,,,-580000,,,,179150000,,,,,,,,,,,,,,,,146984000,570099000,122883000,,,,,,,,,,,8174000.0,,,,,,,7406000,,-876000,-15534000,-12325000,3502000,,,,,,,6892000,,,,,,,,,,,,,,,,,,4999000,,,,,,,,,,,,,2634000,16695000,-167000,,,,,,,1354000.0,,,,,,,,,,,15209000,,,,,3567000.0,,2310000,,,,,,,74900000,,,,25000000.0,85000.0,4546000.0,,,,,,,,,,212780000,,,204786000.0,,93034000,,,6268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423115000,,,,,,,,,,,,,,,,,,,,,,,,,,51059000.0,50764000.0,,,,,,,,,,
2010-11-03,False,,90815000,,174207000,43685000,,,,213272000,,,,2143000.0,,,,,,,,,,,642863000,536345000,,,,,,,,,2499000.0,97000.0,,133936000,-53361000.0,,,,,,,,,,161196000.0,,,,,,,,,,,,,,14000.0,,,,,,,-5116000.0,,,,,,,,,,10944000.0,20516000.0,,,,,,,,,,,,,,,,,,,,23191000,,,,,,,0.68,0.68,,,,,,,,,,,,-3305000.0,,,,,,2594000.0,,,,,,,,,,,,,,,,,,,,-4127000,,,,,,,-44000.0,,,,,,,,,167372000,,,,,,55963000,,21106000,,,,,,,,,,,,,21604000,99502000,12425000,,,44583000,,-5494000,,,,4148000,,,,-542000,,,,196170000,,,,,,,,,,,,,,,,181472000,642863000,152334000,,,,,,,,,,,8067000.0,,,,,,,10476000,,4709000,-22858000,-31907000,34857000,,,,,,,56689000,,,,,,,,,,,,,,,,,,5295000,,564000.0,0.0,,,,,,,,,,9767000,18662000,-184000,,,,,,,1354000.0,,,,,,,,,,,22533000,,,,,5262000.0,,3796000,,,,,,,76559000,,,,25000000.0,97000.0,6846000.0,,,,,,,,,,247074000,,,328568000.0,,110683000,,,10046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461391000,,,,,,2909000.0,-643000.0,,,,,,,,,,,,,,,,,,,51168000.0,50926000.0,,,,,,,,,,
2011-02-24,True,,84679000,,102034000,55138000,,,,224887000,,,,3483000.0,,,,,,,,,,,675378000,555850000,,,,,,,,,2922000.0,97000.0,,203870000,16573000.0,,,,,,,,,,533420000.0,,,,,,,,,,,,,,14000.0,,,,,,,-10337000.0,,,,,,,,,,15265000.0,21275000.0,,,,,,,,,,,,,,,,,,,,31321000,,,,,,,1.35,1.34,,,,,,,,,,,,1001000.0,,,,,,4189000.0,,,,,,,,,,,,,,,,,,,,-1280000,,,,,,,-44000.0,,,,,,,,,530507000,,,,,,108919000,,40442000,38773000.0,,,,,,,,,,,,16158000,32320000,4950000,,,65239000,,4099000,,,,3914000,,,,-2258000,992000.0,,,215355000,,,,,,,,,,,,,,,,178412000,675378000,149147000,,,,,,,,,,,6865000.0,,,,,,,9077000,,7243000,-41785000,50114000,68477000,,,,,,,112355000,,,,,,,,,,,,,,,,,,18212000,,1577000.0,101000.0,,,,,,,,,,2465000,20188000,-1178000,,,,,,,1354000.0,,,,,,600000.0,11125000.0,,,,30182000,,,,,5262000.0,,7335000,40000000.0,,,,21000.0,,76127000,,,,25000000.0,97000.0,9446000.0,,,,,,,,,,270021000,,,1063927000.0,,418152000,,,16227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496966000,,,,,,6104000.0,-644000.0,,,,,,,,,,,,,,,,,,,51282.0,50798.0,,,,,,,,,,
