filing_date,annual,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,AccountsAndNotesReceivableNet_USD,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent_USD,AccountsPayableCurrentAndNoncurrent_USD,AccountsReceivableNet_USD,AccountsReceivableNetCurrent_USD,AccruedIncomeTaxes_USD,AccruedLiabilitiesCurrentAndNoncurrent_USD,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_USD,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax_USD,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther_USD,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation_USD,AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation_USD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue_USD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation_USD,AdvertisingExpense_USD,AllowanceForNotesReceivable_USD,AmortizationOfIntangibleAssets_USD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount_shares,AssetImpairmentCharges_USD,Assets_USD,BankOverdrafts_USD,BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed_USD,BusinessAcquisitionsProFormaNetIncomeLoss_USD,BusinessAcquisitionsProFormaRevenue_USD,BusinessCombinationConsiderationTransferred1_USD,BusinessExitCosts_USD,CapitalizedContractCostNet_USD,CashAcquiredFromAcquisition_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect_USD,CashCollateralForBorrowedSecurities_USD,CommonStockDividendsPerShareDeclared_USD/shares,CommonStockParOrStatedValuePerShare_USD/shares,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,ComprehensiveIncomeNetOfTax_USD,ContractWithCustomerAssetNet_USD,ContractWithCustomerLiability_USD,ContractWithCustomerLiabilityRevenueRecognized_USD,CostOfPropertyRepairsAndMaintenance_USD,CostOfRealEstateRevenue_USD,CostsOfRealEstateServicesAndLandSales_USD,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption_USD,CumulativeEffectOnRetainedEarningsNetOfTax1_USD,CurrentFederalTaxExpenseBenefit_USD,CurrentIncomeTaxExpenseBenefit_USD,CurrentStateAndLocalTaxExpenseBenefit_USD,CustomerAdvancesAndDeposits_USD,DebtInstrumentFaceAmount_USD,DebtInstrumentFairValue_USD,DebtInstrumentRepurchasedFaceAmount_USD,DeferredCompensationLiabilityCurrentAndNoncurrent_USD,DeferredFederalIncomeTaxExpenseBenefit_USD,DeferredFinanceCostsNet_USD,DeferredIncomeTaxAssetsNet_USD,DeferredIncomeTaxExpenseBenefit_USD,DeferredIncomeTaxLiabilities_USD,DeferredIncomeTaxLiabilitiesNet_USD,DeferredStateAndLocalIncomeTaxExpenseBenefit_USD,DeferredTaxAssetsGross_USD,DeferredTaxAssetsLiabilitiesNet_USD,DeferredTaxAssetsNet_USD,DeferredTaxAssetsOperatingLossCarryforwardsDomestic_USD,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal_USD,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration_USD,DeferredTaxAssetsTaxCreditCarryforwards_USD,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax_USD,DeferredTaxAssetsTaxDeferredExpenseOther_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals_USD,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses_USD,DeferredTaxAssetsValuationAllowance_USD,DeferredTaxLiabilities_USD,DeferredTaxLiabilitiesDeferredExpenseOtherCapitalizedCosts_USD,DeferredTaxLiabilitiesDerivatives_USD,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets_USD,DeferredTaxLiabilitiesTaxDeferredIncome_USD,DefinedContributionPlanCostRecognized_USD,Depreciation_USD,DepreciationAndAmortization_USD,DerivativeInstrumentsInHedgesAssetsAtFairValue_USD,DerivativeInstrumentsInHedgesLiabilitiesAtFairValue_USD,Dividends_USD,DividendsCash_USD,DividendsCommonStockCash_USD,DividendsPayableCurrentAndNoncurrent_USD,EarlyRepaymentOfSeniorDebt_USD,EarningsPerShareBasic_USD/shares,EarningsPerShareDiluted_USD/shares,EffectiveIncomeTaxRateContinuingOperations_pure,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance_pure,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate_pure,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses_pure,EffectiveIncomeTaxRateReconciliationOtherAdjustments_pure,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes_pure,EffectiveIncomeTaxRateReconciliationTaxContingencies_pure,EffectiveIncomeTaxRateReconciliationTaxCredits_pure,EffectOfExchangeRateOnCashAndCashEquivalents_USD,EmployeeRelatedLiabilitiesCurrentAndNoncurrent_USD,EquityMethodInvestmentDividendsOrDistributions_USD,EquityMethodInvestmentOtherThanTemporaryImpairment_USD,EquityMethodInvestments_USD,EscrowDeposit_USD,ExtinguishmentOfDebtAmount_USD,FairValueInputsDiscountRate_pure,FairValueOptionChangesInFairValueGainLoss1_USD,FinancialServicesCosts_USD,FinancialServicesRevenue_USD,FinancingReceivableAllowanceForCreditLosses_USD,FiniteLivedIntangibleAssetsAccumulatedAmortization_USD,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree_USD,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo_USD,FiniteLivedIntangibleAssetsGross_USD,FiniteLivedIntangibleAssetsNet_USD,FiniteLivedIntangibleAssetsUsefulLife_years,FiniteLivedIntangibleAssetsWeightedAverageUsefulLife_pure,FutureAmortizationExpenseYearFive_USD,FutureAmortizationExpenseYearFour_USD,FutureAmortizationExpenseYearOne_USD,FutureAmortizationExpenseYearThree_USD,FutureAmortizationExpenseYearTwo_USD,GainLossOnRepurchaseOfDebtInstrument_USD,GainLossOnSaleOfMortgageLoans_USD,GainLossRelatedToLitigationSettlement_USD,GainsLossesOnExtinguishmentOfDebt_USD,GainsLossesOnSalesOfInvestmentRealEstate_USD,Goodwill_USD,GoodwillAcquiredDuringPeriod_USD,GoodwillImpairedAccumulatedImpairmentLoss_USD,GoodwillImpairmentLoss_USD,GoodwillWrittenOffRelatedToSaleOfBusinessUnit_USD,HomeBuildingCosts_USD,HomeBuildingRevenue_USD,ImpairmentLossesRelatedToRealEstatePartnerships_USD,ImpairmentOfIntangibleAssetsFinitelived_USD,ImpairmentOfInvestments_USD,ImpairmentOfRealEstate_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_USD,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest_USD,IncomeLossFromEquityMethodInvestments_USD,IncomeTaxExaminationPenaltiesAndInterestAccrued_USD,IncomeTaxExpenseBenefit_USD,IncomeTaxesPaidNet_USD,IncomeTaxReceivable_USD,IncomeTaxReconciliationTaxCredits_USD,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities_USD,IncreaseDecreaseInAccruedIncomeTaxesPayable_USD,IncreaseDecreaseInDeferredIncomeTaxes_USD,IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet_USD,IncreaseDecreaseInIncomeTaxesReceivable_USD,IncreaseDecreaseInInventories_USD,IncreaseDecreaseInLiabilityForClaimsAndClaimsAdjustmentExpenseReserve_USD,IncreaseDecreaseInMortgageLoansHeldForSale_USD,IncreaseDecreaseInOtherOperatingAssets_USD,IncreaseDecreaseInRestrictedCash_USD,IncreaseDecreaseInRestrictedCashForOperatingActivities_USD,IncreaseDecreaseInSelfInsuranceReserve_USD,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements_shares,InsuranceSettlementsReceivable_USD,IntangibleAssetsNetExcludingGoodwill_USD,IntangibleAssetsNetIncludingGoodwill_USD,InterestAndFeeIncomeLoansHeldForSaleMortgages_USD,InterestCostsIncurred_USD,InterestExpense_USD,InterestExpenseOther_USD,InterestIncomeOther_USD,InterestPaidCapitalized_USD,InterestPaidNet_USD,InterestPayableCurrentAndNoncurrent_USD,InventoryAdjustments_USD,InventoryHomesUnderConstruction_USD,InventoryLandHeldForDevelopmentAndSale_USD,InventoryOperativeBuilders_USD,InventoryRealEstateHeldForSale_USD,InventoryRealEstateLandAndLandDevelopmentCosts_USD,InventoryRealEstateMortgageLoansHeldInInventory_USD,InventoryRealEstateOther_USD,InvestmentIncomeInterest_USD,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures_USD,LandAvailableForDevelopment_USD,LandSales_USD,LandUnderPurchaseOptionsRecorded_USD,LeaseAndRentalExpense_USD,LeaseCost_USD,LesseeOperatingLeaseLiabilityPaymentsDue_USD,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFive_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearFour_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearThree_USD,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo_USD,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_USD,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount_USD,LettersOfCreditOutstandingAmount_USD,Liabilities_USD,LiabilitiesAndStockholdersEquity_USD,LiabilityForFuturePolicyBenefitsAndUnpaidClaimsAndClaimsAdjustmentExpense_USD,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaid_USD,LineOfCredit_USD,LineOfCreditFacilityAmountOutstanding_USD,LineOfCreditFacilityCurrentBorrowingCapacity_USD,LineOfCreditFacilityFairValueOfAmountOutstanding_USD,LineOfCreditFacilityMaximumBorrowingCapacity_USD,LineOfCreditFacilityRemainingBorrowingCapacity_USD,LinesOfCreditFairValueDisclosure_USD,LitigationSettlementExpense_USD,LoansAndLeasesReceivableAllowance_USD,LoansHeldForSaleFairValueDisclosure_USD,LoansHeldForSaleMortgages_USD,LoansPayable_USD,LoansPayableFairValueDisclosure_USD,LoansReceivableNet_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree_USD,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo_USD,LossContingencyAccrualAtCarryingValue_USD,LossContingencyAccrualCarryingValuePayments_USD,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease_USD,LossContingencyAccrualCarryingValueProvision_USD,LossContingencyAccrualPayments_USD,LossContingencyAccrualProvision_USD,LossContingencyPendingClaimsNumber_claim,LossContingencyPendingClaimsNumber_lawsuit,LossContingencyPendingClaimsNumber_pure,LossContingencyRangeOfPossibleLossMaximum_USD,LossContingencyRelatedReceivableCarryingValuePeriodIncreaseDecrease_USD,MinorityInterestDecreaseFromRedemptions_USD,MortgageLoansOnRealEstateNewMortgageLoans_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,NetIncomeLossAvailableToCommonStockholdersBasic_USD,NetIncomeLossAvailableToCommonStockholdersDiluted_USD,NonoperatingIncomeExpense_USD,NotesPayable_USD,NotesPayableFairValueDisclosure_USD,NotesReceivableGross_USD,NotesReceivableNet_USD,NotionalAmountOfInterestRateDerivatives_USD,NumberOfReportableSegments_segment,NumberOfUnitsInRealEstateProperty_lot,OperatingLeaseLiability_USD,OperatingLeasePayments_USD,OperatingLeaseRightOfUseAsset_USD,OperatingLeasesFutureMinimumPaymentsDue_USD,OperatingLeasesFutureMinimumPaymentsDueCurrent_USD,OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals_USD,OperatingLeasesFutureMinimumPaymentsDueInFiveYears_USD,OperatingLeasesFutureMinimumPaymentsDueInFourYears_USD,OperatingLeasesFutureMinimumPaymentsDueInThreeYears_USD,OperatingLeasesFutureMinimumPaymentsDueInTwoYears_USD,OperatingLeasesFutureMinimumPaymentsDueThereafter_USD,OperatingLeaseWeightedAverageDiscountRatePercent_pure,OperatingLossCarryforwards_USD,OtherAssets_USD,OtherAssetsMiscellaneous_USD,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent_USD,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax_USD,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_USD,OtherComprehensiveIncomeLossNetOfTax_USD,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease_USD,OtherComprehensiveIncomeLossTax_USD,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax_USD,OtherNoncashIncomeExpense_USD,OtherNonoperatingExpense_USD,OtherNonoperatingIncome_USD,OtherNonoperatingIncomeExpense_USD,OtherNotesPayable_USD,OtherReceivables_USD,OtherRestructuringCosts_USD,OtherSundryLiabilities_USD,ParticipatingSecuritiesDistributedAndUndistributedEarnings_USD,ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic_USD,PaymentsForLegalSettlements_USD,PaymentsForLossesAndLossAdjustmentExpense_USD,PaymentsForProceedsFromLoansAndLeases_USD,PaymentsForProceedsFromOtherInvestingActivities_USD,PaymentsForRepurchaseOfCommonStock_USD,PaymentsOfDebtIssuanceCosts_USD,PaymentsOfDividends_USD,PaymentsRelatedToTaxWithholdingForShareBasedCompensation_USD,PaymentsToAcquireBusinessesGross_USD,PaymentsToAcquireBusinessesNetOfCashAcquired_USD,PaymentsToAcquireEquityMethodInvestments_USD,PaymentsToAcquireInterestInSubsidiariesAndAffiliates_USD,PaymentsToAcquireLoansHeldForInvestment_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockParOrStatedValuePerShare_USD/shares,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockValue_USD,PrepaidExpenseCurrentAndNoncurrent_USD,ProceedsFromContributionsFromParent_USD,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital_USD,ProceedsFromIncomeTaxRefunds_USD,ProceedsFromIssuanceOfCommonStock_USD,ProceedsFromIssuanceOfLongTermDebt_USD,ProceedsFromLinesOfCredit_USD,ProceedsFromOtherShortTermDebt_USD,ProceedsFromRepaymentsOfDebt_USD,ProceedsFromRepaymentsOfLinesOfCredit_USD,ProceedsFromRepaymentsOfOtherDebt_USD,ProceedsFromSaleOfEquityMethodInvestments_USD,ProceedsFromSaleOfPropertyPlantAndEquipment_USD,ProductionRelatedImpairmentsOrCharges_USD,ProductWarrantyAccrualPreexistingIncreaseDecrease_USD,ProductWarrantyExpense_USD,PropertyPlantAndEquipmentNet_USD,ProvisionForDoubtfulAccounts_USD,PurchaseOptionsLand_USD,RealEstateInventoryCapitalizedInterestCosts_USD,RealEstateInventoryCapitalizedInterestCostsCostOfSales_USD,RealEstateInventoryCapitalizedInterestCostsCostOfSales1_USD,RealEstateInventoryCapitalizedInterestCostsIncurred_USD,RealEstateInvestmentsJointVentures_USD,RealEstateRevenueNet_USD,RepaymentsOfDebt_USD,RepaymentsOfLinesOfCredit_USD,RepaymentsOfLongTermDebt_USD,RepaymentsOfOtherDebt_USD,RepaymentsOfOtherShortTermDebt_USD,RestrictedCashAndCashEquivalents_USD,RestructuringAndRelatedCostExpectedCost1_USD,RestructuringCharges_USD,RestructuringCosts_USD,RestructuringReserve_USD,RetainedEarningsAccumulatedDeficit_USD,RevenueFromContractWithCustomerExcludingAssessedTax_USD,Revenues_USD,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability_USD,SalesCommissionsAndFees_USD,SecuritiesPurchasedUnderAgreementsToResell_USD,SelfInsuranceReserve_USD,SellingGeneralAndAdministrativeExpense_USD,SeniorNotes_USD,SeveranceCosts_USD,SeveranceCosts1_USD,ShareBasedCompensation_USD,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate_pure,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized_shares,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant_shares,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions_shares,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions_shares,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1_USD/shares,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1_USD/shares,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageRemainingContractualTerm1_pure,ShortTermLeaseCost_USD,SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit_USD,SpecialAssessmentBond_USD,StandardProductWarrantyAccrual_USD,StandardProductWarrantyAccrualAdditionsFromBusinessAcquisition_USD,StandardProductWarrantyAccrualPayments_USD,StandardProductWarrantyAccrualWarrantiesIssued_USD,StockholdersEquity_USD,StockIssuedDuringPeriodValueAcquisitions_USD,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures_USD,StockIssuedDuringPeriodValueShareBasedCompensation_USD,StockIssuedDuringPeriodValueStockOptionsExercised_USD,StockRepurchasedDuringPeriodShares_shares,StockRepurchasedDuringPeriodValue_USD,StockRepurchaseProgramAuthorizedAmount_USD,StockRepurchaseProgramAuthorizedAmount1_USD,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount_USD,SupplementalUnemploymentBenefitsSeveranceBenefits_USD,TangibleAssetImpairmentCharges_USD,TaxCutsAndJobsActOf2017IncompleteAccountingChangeInTaxRateDeferredTaxAssetProvisionalIncomeTaxExpense_USD,UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums_USD,UndistributedEarningsAllocatedToParticipatingSecurities_USD,UndistributedEarningsDiluted_USD,UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic_USD,UndistributedEarningsLossAllocatedToParticipatingSecuritiesDiluted_USD,UnrecognizedTaxBenefits_USD,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued_USD,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense_USD,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_USD,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions_USD,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_USD,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate_USD,ValuationAllowanceAmount_USD,ValuationAllowanceDeferredTaxAssetChangeInAmount_USD,VariableLeaseCost_USD,WarehouseAgreementBorrowings_USD,WeightedAverageNumberDilutedSharesOutstandingAdjustment_shares,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares,WriteOffOfDeferredDebtIssuanceCost_USD,LongTermDebt_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,DeferredTaxLiabilitiesPropertyPlantAndEquipment_USD,GainLossOnSaleOfProperties_USD
2010-08-05,False,382709085,,,,275974000,23538000.0,,298432000.0,1609530000,,,,,,3127000.0,,,16485000,,,,,,33315000.0,9915496000,68356000.0,,,,,,,,2746626000,888392000.0,,,,,,,,,,63993000,,,,,1107019000.0,2563000.0,,,,,,89606000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24356000,,,,,,,,0.2,0.2,,,,,,,,,,3000.0,,2015000.0,,,,,,,44772000.0,36163000.0,,,,,,,,,,,,,,,,,,,,15901000.0,,895464000.0,,,1375000.0,,1104456000.0,1262990000.0,,,,,,,5542000,,-82029000,-890109000.0,86631000.0,,-105122000,-62489000.0,,,-868555000.0,-19267000,,66557000,-53995000,,-3375000.0,,,,181998000.0,,,,1018000.0,,,,4412000.0,,,,,4883049000,54166000,,243561000,63742000.0,2292000.0,87135000.0,,6745000.0,,,,,,,,,,,,,,6633710000,9915496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62412000,-24087000,850064000,76303000,,,,,,,,,,,,,,,,,,,,,,,,620585000,,169000.0,,9000.0,,,,,,,,,,,-9234000.0,,,,,,,,,,,1749000,,,,,,,19619000.0,,8698000,,,,,,,,,8617000.0,,,,,,,,1068000.0,,,,,,,,,,,,1269735000.0,,,,1464000.0,,29001000,,,,,,,1305898000.0,,,,,157415000,4284766000,,,16485000,,,,,,,,,,,,,,,,,,,3281786000,,,,8617000.0,,1749000,,,,,,,,,,,,,,,,,,,,,,,,,75402000.0,1794000.0,380412000,378618000,,,,,
2010-11-05,False,382228225,,,,280135000,9843000.0,,318312000.0,1832881000,,,,,,5670000.0,,,27480000,,,,,,92549000.0,9092636000,74301000.0,,,,,,,1748742000.0,2623282000,765048000.0,,,,,,,,,,-931050000,,,,,957637000.0,4849000.0,,,,,,78502000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34930000,,,,,,,,-2.63,-2.63,,,,,,,,,,-11000.0,,3531000.0,,,,,,,23450000.0,27009000.0,,,,,,,,,,,,,,,,,,,,-31501000.0,,240541000.0,,,656298000.0,,952788000.0,1024847000.0,,,,,,,-3704000,,-28721000,-884602000.0,136845000.0,,109971000,-42609000.0,,,-818003000.0,81004000,,-13409000,-94000000,,586000.0,,,,178723000.0,,,,789000.0,,,,-12871000.0,,,,,4920754000,55157000,,153762000,62375000.0,2601000.0,85219000.0,,5908000.0,,,,,,,,,,,,,,6796213000,9092636000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4021000.0,,-14256000,-19282000,798597000,-995116000,,,,,,,,,,,,,,,,,,,,,,,,593173000,,251000.0,,2995000.0,,,,,,,,,,,-672979000.0,,,,,,,,,,,3115000,,,,,,,22666000.0,,11647000,,,,,,,,,8668000.0,,,,,,,,1240000.0,,,,,,,,,,,,1030755000.0,,,,1415000.0,,32962000,,,,,,,1057764000.0,,,,,425643000,4286383000,,,27480000,,,,,,,,,,,,,,,,,,,2296423000,1503983000.0,,,8668000.0,,3115000,,,,,,,,,,,,,,,,,,,,,,,,,18394000.0,,378842,378842,,,,,
2011-02-10,True,382005253,3135385021.0,,,226466000,12765000.0,,294408000.0,1599940000,,,,-1519000.0,2972919000.0,5873000.0,,,32081000,-8098000.0,,,,,214444000.0,7699376000,63594000.0,,,,,,,1748742000.0,1470625000,-387609000.0,,,,0.16,0.01,400000000.0,382027940.0,382027940.0,3820000.0,-1095999000,,,,,4059940000.0,53555000.0,,,,,,51727000.0,,,,,,,,37587000.0,,,,,,,,,,,,,,,,,,,,,,,45660000,,,,41119000.0,,,,-2.9,-2.9,,,,,,,,,,-11000.0,,5512000.0,,,,,,,116122000.0,121663000.0,,,,,,,,,,,,,,,,,,,,-38920000.0,,240541000.0,,,656298000.0,,4006385000.0,4419812000.0,,,,,,,2911000,,-137817000,-941283000.0,81307000.0,,-188779000,-66513000.0,,,-873879000.0,43181000,,7991000,-105918000,,-7775000.0,,,,175448000.0,,,,2729000.0,,,,18367000.0,,,,,4781813000,71055000,,176164000,50781000.0,9531000.0,46313000.0,,27815000.0,,,,,,,,,,,,,,5564209000,7699376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-948399000,-19455000,580256000,-1096729000,,,,,,,,,,,,,,,,,,,,,,,,567963000,,724000.0,0.0,6000.0,,,,,,,1029000.0,,,,-742385000.0,,,,,,,,,,,4023000,3058000.0,41119000.0,,,,,22890000.0,,15179000,0.01,25000000.0,0.0,,,,,,8668000.0,,,,,,,,1780000.0,,,,,,,,,,,,4447627000.0,,,,934650000.0,,24601000,,,,,-840053000.0,,4569290000.0,,,,,895102000,3391668000,,,32081000,,,,,,,,,,,,,,,,,,,2135167000,1503816000.0,,,8668000.0,,4023000,,,,,,,,,,,,,,,,,,,,,,,,,18394000.0,,378585000,378585000,,,,,
2011-04-28,False,382811979,,,,206067000,12473000.0,,289605000.0,1473415000,,,,,,781000.0,,,5510000,,,,,,726000.0,7516629000,28424000.0,,,,,,,,1292949000,-177676000.0,,,,,,,,,,-39568000,,,,,685960000.0,930000.0,,,,,,66422000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8970000,,,,,,,,-0.1,-0.1,,,,,,,,,,,,411000.0,,,,,,,20473000.0,21435000.0,,,,,,,,,,,,,,,,,,,,,,240541000.0,,,,,685030000.0,782471000.0,,,,,,,1109000,,-5866000,-2922000.0,79449000.0,,-122825000,-4803000.0,,,-1858000.0,11245000,,-32292000,-78747000,,108803000.0,,,,172173000.0,,,,351000.0,,,,23833000.0,,,,,4767216000,96690000,,143846000,43271000.0,1437000.0,45470000.0,,1296000.0,,,,,,,,,,,,,,5416489000,7516629000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14281000,-4379000,-159016000,-39526000,,,,,,,,,,,,,,,,,,,,,,,,489147000,,9000.0,,-51000.0,,,,,,,,,,,-3910000.0,,,,,,,,,,,969000,,,,,,,1968000.0,,6128000,,,,,,,,,8089000.0,,,,,,,,2441000.0,,,,,,,,,,,,783767000.0,,,,13312000.0,,133404000,,,,,,,805202000.0,,,,,142446000,3380980000,,,5510000,,,,,,,,,,,,,,,,,,,2100140000,,,,8089000.0,,969000,,,,,,,,,,,,,,,,,,,,,,,,,,,379544000,379544000,,,,,
